date, pm25, pm10, o3, no2
2021/11/28, 36, , 21, 8
2021/11/29, 26, , 17, 13
2021/11/30, 31, , 16, 13
2021/12/1, 47, , 18, 12
2021/12/2, 32, , 17, 13
2021/12/3, 37, , 13, 16
2021/12/4, 41, , 19, 10
2021/12/5, 37, , 25, 4
2021/12/6, 10, , 23, 14
2021/12/7, 17, , 19, 13
2021/12/8, 35, , 26, 4
2021/12/9, 20, , 29, 2
2021/12/10, 11, , 28, 4
2021/12/11, 10, , 31, 2
2021/12/12, 10, , 32, 1
2021/12/13, 8, , 32, 1
2021/12/14, 10, , 40, 1
2021/12/15, 11, , 31, 3
2021/12/16, 9, , 32, 2
2021/12/17, 10, , 31, 6
2021/12/18, 11, , 27, 8
2021/12/19, 16, , 35, 7
2021/12/20, 12, , 32, 12
2021/12/21, 17, , 24, 15
2021/12/22, 26, , 32, 14
2021/12/23, 27, , 31, 1
2021/12/24, 2, , 32, 1
2021/12/25, 2, , 34, 1
2021/12/26, 3, , 33, 1
2021/12/27, 3, , 31, 2
2021/12/28, 5, , 30, 5
2021/12/29, 7, , 30, 5
2021/12/30, 13, , 28, 2
2021/12/31, 4, , 32, 4
2022/1/1, 7, , , 
2021/7/2, 27, , 48, 2
2021/7/3, 32, , 56, 1
2021/7/4, 35, , 53, 2
2021/7/5, 47, , 50, 1
2021/7/6, 56, , 49, 2
2021/7/7, 37, , 52, 1
2021/7/8, 35, , 60, 2
2021/7/9, 40, , 54, 2
2021/7/10, 58, , 73, 2
2021/7/11, 78, , 76, 2
2021/7/12, 109, , 81, 4
2021/7/13, 90, , 48, 1
2021/7/14, 61, , 48, 1
2021/7/15, 36, , 53, 1
2021/7/16, 37, , 58, 1
2021/7/17, 54, , 57, 1
2021/7/18, 33, , 65, 2
2021/7/19, 29, , 53, 1
2021/7/20, 27, , 53, 1
2021/7/21, 29, , 53, 1
2021/7/22, 32, , 50, 1
2021/7/23, 32, , 59, 1
2021/7/24, 37, , 71, 4
2021/7/25, 37, , 66, 3
2021/7/27, 46, , 48, 2
2021/7/28, 13, , 56, 1
2021/7/29, 15, , 63, 3
2021/7/30, 21, , 71, 10
2021/7/31, 6, , 66, 
2021/8/1, 23, , 56, 
2021/8/2, 15, , 44, 
2021/8/3, 13, , 55, 
2021/8/4, 46, , 65, 
2021/8/5, 53, , 56, 
2021/8/6, 42, , 46, 
2021/8/7, 95, , 86, 
2021/8/8, 116, , 81, 
2021/8/9, 98, , 46, 
2021/8/10, 66, , 54, 
2021/8/11, 60, , 57, 
2021/8/12, 38, , 49, 
2021/8/13, 29, , 51, 
2021/8/14, 35, , 55, 
2021/8/15, 42, , 60, 
2021/8/16, 99, , 82, 
2021/8/17, 106, , 49, 1
2021/8/18, 75, , 44, 2
2021/8/19, 96, , 52, 1
2021/8/20, 89, , 53, 1
2021/8/21, 53, , 48, 1
2021/8/22, 37, , 51, 1
2021/8/23, 30, , 54, 1
2021/8/24, 15, , 57, 3
2021/8/25, 24, , 43, 3
2021/8/26, 22, , 28, 4
2021/8/27, 20, , , 
2021/8/29, 82, , 69, 2
2021/8/30, 81, , 56, 2
2021/8/31, 77, , 46, 1
2021/9/1, 53, , 42, 1
2021/9/2, 42, , 46, 1
2021/9/3, 52, , 51, 2
2021/9/4, 58, , 67, 2
2021/9/5, 71, , 65, 1
2021/9/6, 61, , 60, 1
2021/9/7, 55, , 65, 4
2021/9/8, 89, , 78, 4
2021/9/9, 89, , 54, 2
2021/9/10, 71, , 45, 1
2021/9/11, 47, , 42, 2
2021/9/12, 48, , 43, 1
2021/9/13, 23, , 48, 2
2021/9/14, 34, , 58, 3
2021/9/15, 58, , 57, 2
2021/9/16, 52, , 49, 1
2021/9/17, 44, , 50, 2
2021/9/18, 42, , 39, 1
2021/9/19, 18, , 38, 1
2021/9/20, 22, , 36, 1
2021/9/21, 9, , 45, 3
2021/9/22, 15, , 44, 2
2021/9/23, 19, , 45, 3
2021/9/24, 39, , 47, 3
2021/9/25, 40, , 47, 1
2021/9/26, 32, , 49, 1
2021/9/27, 25, , 45, 4
2021/9/28, 35, , 36, 1
2021/9/29, 44, , 34, 2
2021/9/30, 11, , 35, 5
2021/10/1, 24, , 37, 5
2021/4/2, 29, , 38, 2
2021/4/3, 29, , 38, 1
2021/4/4, 34, , 36, 1
2021/4/5, 24, , 32, 2
2021/4/6, 25, , 33, 2
2021/4/7, 15, , 36, 5
2021/4/8, 17, , 32, 3
2021/4/9, 26, , 39, 1
2021/4/10, 17, , 35, 2
2021/4/11, 25, , 42, 1
2021/4/12, 24, , 39, 2
2021/4/13, 20, , 30, 3
2021/4/14, 23, , 35, 4
2021/4/15, 23, , 27, 4
2021/4/16, 25, , 27, 3
2021/4/17, 10, , 36, 2
2021/4/18, 8, , 35, 3
2021/4/19, 16, , 31, 1
2021/4/20, 26, , 34, 2
2021/4/21, 18, , 34, 3
2021/4/22, 20, , 40, 2
2021/4/23, 24, , 37, 1
2021/4/24, 23, , 36, 1
2021/4/25, 30, , 32, 1
2021/4/26, 28, , 30, 2
2021/4/27, 10, , 34, 2
2021/4/28, 14, , 36, 3
2021/4/29, 18, , 37, 4
2021/4/30, 23, , 42, 3
2021/5/1, 18, , 33, 1
2021/5/2, 17, , 32, 1
2021/5/3, 23, , 32, 1
2021/5/4, 11, , 34, 2
2021/5/5, 18, , 41, 2
2021/5/6, 27, , 42, 2
2021/5/7, 25, , 39, 1
2021/5/8, 37, , 36, 1
2021/5/9, 10, , 36, 1
2021/5/10, 10, , 33, 1
2021/5/11, 11, , 34, 2
2021/5/12, 11, , 40, 1
2021/5/13, 21, , 44, 2
2021/5/14, 28, , 44, 1
2021/5/15, 39, , 43, 2
2021/5/16, 43, , 39, 1
2021/5/17, 35, , 39, 1
2021/5/18, 23, , 38, 3
2021/5/19, 27, , 40, 1
2021/5/20, 37, , 42, 1
2021/5/21, 44, , 46, 3
2021/5/22, 42, , 44, 1
2021/5/23, 38, , 39, 1
2021/5/24, 14, , 36, 1
2021/5/25, 10, , 37, 1
2021/5/26, 14, , 35, 1
2021/5/27, 14, , 44, 3
2021/5/28, 15, , 41, 2
2021/5/29, 25, , 45, 1
2021/5/30, 13, , 41, 1
2021/5/31, 13, , 42, 2
2021/6/1, 20, , 44, 2
2021/6/2, 24, , 46, 3
2021/6/3, 26, , 50, 3
2021/6/4, 36, , 49, 1
2021/6/5, 39, , 38, 2
2021/6/6, 42, , 47, 1
2021/6/7, 40, , 40, 1
2021/6/8, 41, , 45, 1
2021/6/9, 31, , 43, 1
2021/6/10, 26, , 40, 1
2021/6/11, 41, , 54, 1
2021/6/12, 23, , 62, 1
2021/6/13, 40, , 41, 1
2021/6/14, 44, , 37, 1
2021/6/15, 19, , 43, 1
2021/6/16, 47, , 62, 1
2021/6/17, 46, , 62, 3
2021/6/18, 51, , 59, 3
2021/6/19, 55, , 49, 2
2021/6/20, 53, , 40, 1
2021/6/21, 33, , 69, 2
2021/6/22, 39, , 50, 1
2021/6/23, 37, , 47, 1
2021/6/24, 37, , 39, 2
2021/6/25, 37, , 44, 2
2021/6/26, 25, , 45, 3
2021/6/27, 22, , 46, 2
2021/6/28, 17, , 43, 1
2021/6/29, 28, , 46, 1
2021/6/30, 19, , 44, 1
2021/7/1, 14, , 46, 1
2021/1/5, 8, , 29, 2
2021/1/6, 13, , 25, 7
2021/1/7, 5, , 25, 8
2021/1/8, 17, , 24, 9
2021/1/9, 25, , 28, 9
2021/1/10, 30, , 21, 7
2021/1/11, 22, , 16, 12
2021/1/12, 39, , 19, 17
2021/1/13, 54, , 29, 9
2021/1/14, 30, , 30, 3
2021/1/15, 5, , 27, 7
2021/1/16, 8, , 26, 11
2021/1/17, 35, , 27, 5
2021/1/18, 19, , 26, 5
2021/1/19, 14, , 26, 6
2021/1/20, 9, , 26, 6
2021/1/21, 17, , 21, 10
2021/1/22, 29, , 28, 2
2021/1/23, 12, , 30, 3
2021/1/24, 15, , 22, 5
2021/1/25, 38, , 29, 8
2021/1/26, 25, , 30, 4
2021/1/27, 19, , 30, 1
2021/1/28, 7, , 29, 1
2021/1/29, 4, , 31, 3
2021/1/30, 4, , 30, 3
2021/1/31, 7, , 32, 4
2021/2/1, 12, , 32, 6
2021/2/2, 21, , 29, 1
2021/2/3, 8, , 31, 2
2021/2/4, 17, , 26, 3
2021/2/5, 12, , 31, 4
2021/2/6, 31, , 31, 2
2021/2/7, 20, , 32, 2
2021/2/8, 15, , 30, 5
2021/2/9, 17, , 28, 5
2021/2/10, 15, , 28, 4
2021/2/11, 17, , 30, 4
2021/2/12, 9, , 28, 2
2021/2/13, 3, , 27, 3
2021/2/14, 3, , 29, 2
2021/2/15, 12, , 28, 4
2021/2/16, 11, , 31, 2
2021/2/17, 6, , 32, 2
2021/2/18, 4, , 32, 4
2021/2/19, 7, , 33, 1
2021/2/20, 4, , 31, 2
2021/2/21, 6, , 31, 2
2021/2/22, 5, , 33, 5
2021/2/23, 14, , 33, 3
2021/2/24, 6, , 33, 4
2021/2/25, 6, , 31, 5
2021/2/26, 6, , 34, 2
2021/2/27, 6, , 33, 2
2021/2/28, 4, , 20, 6
2021/3/1, 17, , 17, 5
2021/3/2, 24, , 18, 6
2021/3/3, 15, , 15, 4
2021/3/4, 13, , 14, 4
2021/3/5, 20, , 13, 5
2021/3/6, 18, , 28, 2
2021/3/7, 25, , 15, 5
2021/3/8, 36, , 36, 2
2021/3/9, 23, , 15, 3
2021/3/10, 32, , 21, 4
2021/3/11, 27, , 16, 5
2021/3/12, 14, , 15, 8
2021/3/13, 23, , 12, 6
2021/3/14, 16, , 15, 6
2021/3/15, 15, , 18, 6
2021/3/16, 10, , 15, 5
2021/3/17, 21, , 10, 7
2021/3/18, 23, , 14, 4
2021/3/19, 13, , 33, 2
2021/3/20, 13, , 31, 3
2021/3/21, 14, , 33, 3
2021/3/22, 11, , 30, 5
2021/3/23, 19, , 31, 5
2021/3/24, 17, , 32, 3
2021/3/25, 7, , 28, 2
2021/3/26, 7, , 29, 2
2021/3/27, 9, , 30, 4
2021/3/28, 15, , 32, 2
2021/3/29, 19, , 36, 1
2021/3/30, 34, , 32, 3
2021/3/31, 13, , 33, 5
2021/4/1, 21, , 39, 5
2020/10/2, 25, , 36, 5
2020/10/3, 35, , 41, 3
2020/10/4, 60, , 47, 2
2020/10/5, 79, , 40, 3
2020/10/6, 70, , 45, 5
2020/10/7, 85, , 41, 6
2020/10/8, 92, , 36, 2
2020/10/9, 73, , 33, 1
2020/10/10, 40, , 35, 1
2020/10/11, 35, , 32, 1
2020/10/12, 15, , 35, 2
2020/10/13, 12, , 34, 3
2020/10/14, 22, , 33, 1
2020/10/15, 17, , 34, 1
2020/10/16, 15, , 35, 4
2020/10/17, 19, , 25, 1
2020/10/18, 15, , 34, 1
2020/10/19, 17, , 26, 2
2020/10/20, 19, , 30, 3
2020/10/21, 19, , 29, 3
2020/10/22, 21, , 35, 1
2020/10/23, 20, , 29, 6
2020/10/24, 19, , 29, 5
2020/10/25, 27, , 28, 1
2020/10/26, 15, , 30, 2
2020/10/27, 20, , 32, 7
2020/10/28, 39, , 28, 6
2020/10/29, 37, , 28, 9
2020/10/30, 38, , 29, 6
2020/10/31, 18, , 26, 3
2020/11/1, 20, , 28, 4
2020/11/2, 30, , 24, 8
2020/11/3, 32, , 26, 9
2020/11/4, 37, , 30, 5
2020/11/5, 34, , 33, 3
2020/11/6, 26, , 30, 1
2020/11/7, 27, , 33, 1
2020/11/8, 27, , 30, 1
2020/11/9, 10, , 24, 2
2020/11/10, 23, , 25, 2
2020/11/11, 14, , 28, 2
2020/11/12, 12, , 28, 3
2020/11/13, 8, , 33, 1
2020/11/14, 10, , 31, 2
2020/11/15, 6, , 30, 2
2020/11/16, 7, , 27, 6
2020/11/17, 11, , 28, 1
2020/11/18, 8, , 24, 3
2020/11/19, 28, , 30, 3
2020/11/20, 16, , 24, 8
2020/11/21, 20, , 25, 9
2020/11/22, 24, , 21, 11
2020/11/23, 32, , 18, 11
2020/11/24, 41, , 26, 4
2020/11/25, 20, , 29, 3
2020/11/26, 22, , 26, 1
2020/11/27, 8, , 23, 4
2020/11/28, 10, , 20, 8
2020/11/29, 27, , 21, 10
2020/11/30, 40, , 25, 10
2020/12/1, 21, , 28, 6
2020/12/2, 13, , 23, 7
2020/12/3, 15, , 23, 11
2020/12/4, 22, , 18, 15
2020/12/5, 42, , 17, 17
2020/12/6, 50, , 16, 19
2020/12/7, 62, , 16, 18
2020/12/8, 65, , 14, 19
2020/12/9, 57, , 10, 25
2020/12/10, 61, , 17, 19
2020/12/11, 73, , 15, 15
2020/12/12, 48, , 27, 5
2020/12/13, 19, , 28, 3
2020/12/14, 14, , 25, 7
2020/12/15, 30, , 25, 5
2020/12/16, 18, , 28, 6
2020/12/17, 19, , 28, 2
2020/12/18, 10, , 23, 5
2020/12/19, 17, , 27, 4
2020/12/20, 15, , 29, 4
2020/12/21, 12, , 28, 3
2020/12/22, 5, , 29, 1
2020/12/23, 6, , 24, 2
2020/12/24, 9, , 21, 6
2020/12/25, 17, , 26, 8
2020/12/26, 22, , 27, 5
2020/12/27, 24, , 27, 4
2020/12/28, 14, , 20, 10
2020/12/29, 17, , 24, 8
2020/12/30, 21, , 29, 7
2020/12/31, 23, , 23, 8
2021/1/1, 44, , 26, 5
2021/1/2, 27, , 27, 5
2021/1/3, 26, , 27, 5
2021/1/4, 10, , 30, 3
2020/7/2, 26, , 45, 2
2020/7/3, 21, , 37, 1
2020/7/4, 29, , 34, 3
2020/7/5, 32, , 47, 1
2020/7/6, 58, , 49, 4
2020/7/7, 34, , 41, 1
2020/7/8, 38, , 52, 2
2020/7/9, 38, , 63, 4
2020/7/10, 32, , 56, 1
2020/7/11, 37, , 62, 1
2020/7/12, 32, , 47, 1
2020/7/13, 40, , 40, 3
2020/7/14, 37, , 46, 1
2020/7/15, 23, , 56, 2
2020/7/16, 29, , 44, 5
2020/7/17, 39, , 39, 1
2020/7/18, 34, , 42, 1
2020/7/19, 32, , 40, 3
2020/7/20, 54, , 33, 4
2020/7/21, 47, , 53, 4
2020/7/22, 57, , 37, 1
2020/7/23, 48, , 39, 1
2020/7/31, 42, , 47, 2
2020/8/1, 32, , 49, 2
2020/8/2, 31, , 48, 1
2020/8/3, 27, , 55, 1
2020/8/4, 58, , 48, 4
2020/8/5, 58, , 46, 3
2020/8/6, 52, , 47, 1
2020/8/7, 33, , 48, 1
2020/8/8, 28, , 48, 2
2020/8/9, 31, , 46, 1
2020/8/10, 29, , 47, 2
2020/8/11, 33, , 43, 2
2020/8/12, 26, , 44, 2
2020/8/13, 44, , 50, 2
2020/8/14, 56, , 43, 4
2020/8/15, 56, , 43, 2
2020/8/16, 44, , 41, 3
2020/8/17, 32, , 52, 5
2020/8/18, 50, , 59, 4
2020/8/19, 51, , 55, 5
2020/8/20, 54, , 54, 3
2020/8/21, 66, , 81, 5
2020/8/22, 134, , 64, 1
2020/8/23, 104, , 51, 1
2020/8/24, 63, , 51, 2
2020/8/25, 57, , 47, 4
2020/8/26, 72, , 56, 3
2020/8/27, 57, , 46, 2
2020/8/28, 50, , 66, 4
2020/8/29, 55, , 44, 3
2020/8/30, 52, , 45, 1
2020/8/31, 56, , 39, 1
2020/9/1, 29, , 30, 1
2020/9/2, 18, , 39, 2
2020/9/3, 23, , 37, 2
2020/9/4, 27, , 47, 5
2020/9/5, 46, , 53, 2
2020/9/6, 39, , 51, 1
2020/9/7, 65, , 42, 3
2020/9/8, 100, , 24, 1
2020/9/9, 17, , 30, 2
2020/9/10, 14, , 44, 3
2020/9/11, 34, , 46, 2
2020/9/12, 42, , 44, 1
2020/9/13, 49, , 41, 1
2020/9/14, 47, , 38, 1
2020/9/15, 29, , 42, 3
2020/9/16, 30, , 43, 3
2020/9/17, 42, , 44, 2
2020/9/18, 51, , 43, 1
2020/9/19, 56, , 41, 2
2020/9/20, 78, , 48, 5
2020/9/21, 68, , 50, 3
2020/9/22, 67, , 41, 1
2020/9/23, 49, , 42, 2
2020/9/24, 52, , 42, 1
2020/9/25, 57, , 39, 4
2020/9/26, 70, , 29, 1
2020/9/27, 37, , 36, 1
2020/9/28, 16, , 36, 3
2020/9/29, 14, , 40, 6
2020/9/30, 29, , 38, 6
2020/10/1, 31, , 37, 5
2020/4/2, 12, , 36, 1
2020/4/3, 13, , 37, 2
2020/4/4, 10, , 40, 3
2020/4/5, 13, , 42, 1
2020/4/6, 24, , 38, 1
2020/4/7, 19, , 36, 1
2020/4/8, 21, , 38, 5
2020/4/9, 22, , 34, 4
2020/4/10, 18, , 43, 3
2020/4/11, 19, , 38, 1
2020/4/12, 15, , 39, 1
2020/4/13, 13, , 39, 3
2020/4/14, 19, , 39, 4
2020/4/15, 20, , 34, 1
2020/4/16, 10, , 35, 1
2020/4/17, 9, , 42, 4
2020/4/18, 17, , 41, 2
2020/4/19, 23, , 38, 1
2020/4/20, 13, , 47, 3
2020/4/21, 24, , 45, 7
2020/4/22, 25, , 36, 4
2020/4/23, 20, , 37, 1
2020/4/24, 19, , 37, 2
2020/4/25, 18, , 38, 2
2020/4/26, 24, , 35, 1
2020/4/27, 13, , 35, 1
2020/4/28, 17, , 40, 1
2020/4/29, 20, , 38, 2
2020/4/30, 12, , 37, 1
2020/5/1, 14, , 37, 2
2020/5/2, 25, , 40, 2
2020/5/3, 23, , 37, 1
2020/5/4, 22, , 43, 1
2020/5/5, 14, , 50, 2
2020/5/6, 19, , 45, 1
2020/5/7, 33, , 43, 1
2020/5/8, 13, , 51, 5
2020/5/9, 15, , 48, 2
2020/5/10, 13, , 50, 1
2020/5/11, 29, , 46, 1
2020/5/12, 22, , 47, 1
2020/5/13, 22, , 40, 1
2020/5/14, 24, , 41, 3
2020/5/15, 15, , 37, 3
2020/5/16, 11, , 42, 1
2020/5/17, 14, , 44, 1
2020/5/18, 27, , 44, 1
2020/5/19, 33, , 45, 1
2020/5/20, 29, , 43, 1
2020/5/21, 13, , 40, 1
2020/5/22, 12, , 42, 1
2020/5/23, 16, , 37, 1
2020/5/24, 8, , 34, 4
2020/5/25, 16, , 38, 5
2020/5/26, 10, , 46, 2
2020/5/27, 17, , 32, 4
2020/5/28, 27, , 41, 3
2020/5/29, 26, , 40, 1
2020/5/30, 28, , 38, 1
2020/5/31, 24, , 39, 1
2020/6/1, 25, , 40, 1
2020/6/2, 16, , 47, 1
2020/6/3, 37, , 46, 2
2020/6/4, 50, , 43, 1
2020/6/5, 34, , 47, 2
2020/6/6, 33, , 44, 1
2020/6/7, 21, , 43, 1
2020/6/8, 18, , 26, 2
2020/6/9, 6, , 35, 2
2020/6/10, 8, , 40, 2
2020/6/11, 10, , 37, 1
2020/6/12, 11, , 41, 1
2020/6/13, 22, , 46, 1
2020/6/14, 24, , 43, 1
2020/6/15, 18, , 47, 2
2020/6/16, 18, , 38, 1
2020/6/17, 15, , 38, 2
2020/6/18, 8, , 34, 3
2020/6/19, 9, , 38, 4
2020/6/20, 13, , 41, 1
2020/6/21, 14, , 36, 1
2020/6/22, 17, , 39, 1
2020/6/23, 18, , 42, 4
2020/6/24, 21, , 54, 4
2020/6/25, 22, , 38, 4
2020/6/26, 32, , 48, 2
2020/6/27, 20, , 58, 1
2020/6/28, 22, , 43, 1
2020/6/29, 47, , 45, 1
2020/6/30, 16, , 37, 2
2020/7/1, 20, , 46, 2
2020/3/26, 12, , 40, 2
2020/3/27, 7, , 36, 7
2020/3/28, 12, , 36, 3
2020/3/29, 25, , 36, 1
2020/3/30, 17, , 36, 2
2020/3/31, 12, , 39, 4
2020/4/1, 10, , 35, 1
2022/1/3, , 4, 34, 2
2021/7/26, , , 68, 3
2021/8/28, , , 50, 4
2020/7/24, , , 38, 1
2020/7/25, , , 44, 1
2020/7/26, , , 44, 1
2020/7/27, , , 43, 4
2020/7/28, , , 48, 1
2020/7/29, , , 51, 3
2020/7/30, , , 58, 3
2020/3/25, , , 36, 2
