date, pm10, so2
2019/8/14, 51, 
2019/8/16, 76, 2
2019/8/17, 61, 2
2019/8/18, 49, 3
2019/8/19, 53, 3
2019/8/20, 60, 2
2019/8/21, 50, 6
2019/8/22, 52, 4
2019/8/23, 38, 11
2019/8/24, 42, 
2019/8/26, 63, 3
2019/8/27, 59, 4
2019/8/28, 40, 3
2019/8/29, 37, 4
2019/8/30, 86, 5
2019/8/31, 70, 3
2019/9/1, 43, 1
2019/9/2, 34, 
2019/9/5, 16, 5
2019/9/6, 49, 6
2019/9/7, 49, 4
2019/9/8, 49, 3
2019/9/9, 34, 
2019/9/11, 47, 7
2019/9/12, 45, 3
2019/9/13, 52, 7
2019/9/14, 38, 16
2019/9/15, 53, 12
2019/9/16, 74, 2
2019/9/17, 58, 4
2019/9/18, 78, 3
2019/9/19, 49, 7
2019/9/20, 44, 9
2019/9/21, 57, 
2019/9/22, 49, 
2019/9/24, 35, 7
2019/9/25, 36, 6
2019/9/26, 54, 7
2019/9/27, 60, 10
2019/9/28, 55, 4
2019/9/29, 54, 4
2019/9/30, 37, 3
2019/10/1, 35, 5
2019/5/7, 26, 3
2019/5/8, 31, 4
2019/5/9, 47, 2
2019/5/10, 24, 3
2019/5/11, 28, 2
2019/5/12, 30, 5
2019/5/13, 36, 5
2019/5/14, 46, 6
2019/5/15, 37, 3
2019/5/16, 26, 4
2019/5/17, 22, 4
2019/5/18, 28, 8
2019/5/19, 56, 6
2019/5/20, 48, 9
2019/5/21, 34, 5
2019/5/22, 33, 4
2019/5/23, 31, 
2019/5/25, 76, 4
2019/5/26, 106, 5
2019/5/27, 46, 3
2019/5/28, 36, 3
2019/5/29, 26, 3
2019/5/30, 23, 4
2019/5/31, 29, 4
2019/6/1, 36, 5
2019/6/2, 43, 6
2019/6/3, 51, 5
2019/6/4, 57, 3
2019/6/5, 71, 3
2019/6/6, 60, 2
2019/6/7, 56, 3
2019/6/8, 60, 3
2019/6/9, 53, 3
2019/6/10, 67, 
2019/6/12, 71, 6
2019/6/13, 54, 3
2019/6/14, 71, 3
2019/6/15, 67, 3
2019/6/16, 50, 3
2019/6/17, 43, 3
2019/6/18, 60, 
2019/6/21, 64, 6
2019/6/22, 60, 1
2019/6/23, 63, 3
2019/6/24, 71, 2
2019/6/25, 54, 2
2019/6/26, 53, 1
2019/6/27, 52, 4
2019/6/28, 44, 3
2019/6/29, 49, 2
2019/6/30, 50, 3
2019/7/1, 45, 6
2019/1/29, 2, 
2018/10/2, 42, 10
2018/10/3, 52, 9
2018/10/4, 42, 4
2018/10/5, 44, 10
2018/10/6, 41, 13
2018/10/7, 47, 12
2018/10/8, 94, 7
2018/10/9, 68, 9
2018/10/10, 43, 10
2018/10/11, 64, 14
2018/10/12, 66, 10
2018/10/13, 389, 9
2018/10/14, 242, 12
2018/10/15, 94, 10
2018/10/16, 77, 10
2018/10/17, 91, 4
2018/10/18, 79, 9
2018/10/19, 66, 7
2018/10/20, 56, 6
2018/10/21, 57, 
2018/10/23, 59, 11
2018/10/24, 59, 4
2018/10/25, 59, 6
2018/10/26, 97, 2
2018/10/27, 10, 4
2018/10/28, 9, 8
2018/10/29, 9, 8
2018/10/30, 17, 2
2018/10/31, 18, 2
2018/11/1, 20, 6
2018/11/2, 45, 18
2018/11/3, 30, 11
2018/11/4, 26, 11
2018/11/5, 20, 4
2018/11/6, 9, 3
2018/11/7, 23, 3
2018/11/8, 20, 5
2018/11/9, 16, 8
2018/11/10, 40, 12
2018/11/11, 30, 1
2018/11/12, 25, 6
2018/11/13, 31, 7
2018/11/14, 40, 12
2018/11/15, 42, 13
2018/11/16, 15, 17
2018/11/17, 19, 12
2018/11/18, 18, 11
2018/11/19, 20, 13
2018/11/20, 21, 8
2018/11/21, 18, 9
2018/11/22, 26, 4
2018/11/23, 24, 7
2018/11/24, 21, 12
2018/11/25, 23, 4
2018/11/26, 16, 16
2018/11/27, 26, 10
2018/11/28, 30, 10
2018/11/29, 27, 10
2018/11/30, 22, 6
2018/12/1, 13, 4
2018/12/2, 24, 3
2018/12/3, 17, 8
2018/12/4, 20, 15
2018/12/5, 27, 8
2018/12/6, 26, 18
2018/12/7, 30, 11
2018/12/8, 29, 6
2018/12/9, 18, 19
2018/12/10, 23, 12
2018/12/11, 27, 6
2018/12/12, 18, 5
2018/12/13, 12, 6
2018/12/14, 18, 21
2018/12/15, 28, 5
2018/12/16, 26, 9
2018/12/17, 22, 13
2018/12/18, 33, 5
2018/12/19, 24, 14
2018/12/20, 36, 8
2018/12/21, 30, 12
2018/12/22, 33, 3
2018/12/23, 18, 
2018/12/25, 21, 19
2018/12/26, 27, 15
2018/12/27, 19, 12
2018/12/28, 33, 
2018/12/31, 22, 
2018/7/2, 38, 6
2018/7/3, 8, 7
2018/7/4, 4, 6
2018/7/5, 3, 6
2018/7/6, 3, 9
2018/7/7, 18, 2
2018/7/8, 52, 3
2018/7/9, 49, 4
2018/7/10, 47, 4
2018/7/11, 47, 4
2018/7/12, 52, 4
2018/7/13, 58, 8
2018/7/14, 52, 2
2018/7/15, 71, 2
2018/7/16, 81, 2
2018/7/17, 31, 2
2018/7/18, 26, 1
2018/7/19, 30, 2
2018/7/20, 42, 2
2018/7/21, 53, 3
2018/7/22, 42, 2
2018/7/23, 33, 2
2018/7/24, 38, 2
2018/7/25, 353, 2
2018/7/26, 72, 1
2018/7/27, 77, 1
2018/7/28, 47, 1
2018/7/29, 51, 1
2018/7/30, 51, 1
2018/7/31, 56, 1
2018/8/1, 54, 1
2018/8/2, 58, 1
2018/8/3, 51, 1
2018/8/4, 39, 1
2018/8/5, 43, 1
2018/8/6, 43, 1
2018/8/7, 43, 1
2018/8/8, 53, 3
2018/8/9, 45, 1
2018/8/10, 43, 3
2018/8/11, 34, 2
2018/8/12, 33, 
2018/8/13, 38, 
2018/8/14, 35, 
2018/8/15, 35, 
2018/8/16, 43, 
2018/8/17, 34, 12
2018/8/18, 58, 11
2018/8/19, 47, 8
2018/8/20, 37, 5
2018/8/21, 41, 4
2018/8/22, 34, 9
2018/8/23, 38, 7
2018/8/24, 38, 6
2018/8/25, 37, 9
2018/8/26, 46, 8
2018/8/27, 43, 7
2018/8/28, 56, 4
2018/8/29, 51, 3
2018/8/30, 36, 9
2018/8/31, 41, 5
2018/9/1, 49, 4
2018/9/2, 46, 3
2018/9/3, 31, 6
2018/9/4, 49, 5
2018/9/5, 64, 4
2018/9/6, 54, 5
2018/9/7, 60, 4
2018/9/8, 48, 3
2018/9/9, 48, 6
2018/9/10, 37, 6
2018/9/11, 37, 4
2018/9/12, 24, 6
2018/9/13, 39, 4
2018/9/14, 76, 21
2018/9/15, 130, 2
2018/9/16, 38, 7
2018/9/17, 35, 6
2018/9/18, 33, 3
2018/9/19, 34, 3
2018/9/20, 30, 2
2018/9/21, 31, 5
2018/9/22, 41, 3
2018/9/23, 48, 3
2018/9/24, 42, 6
2018/9/25, 32, 4
2018/9/26, 34, 3
2018/9/27, 43, 10
2018/9/28, 44, 10
2018/9/29, 41, 10
2018/9/30, 39, 4
2018/10/1, 34, 10
2018/4/3, 23, 4
2018/4/4, 37, 2
2018/4/5, 36, 3
2018/4/6, 19, 6
2018/4/7, 28, 3
2018/4/8, 33, 2
2018/4/9, 39, 3
2018/4/10, 46, 2
2018/4/11, 38, 2
2018/4/12, 21, 2
2018/4/13, 47, 3
2018/4/14, 53, 2
2018/4/15, 30, 2
2018/4/16, 20, 2
2018/4/17, 21, 3
2018/4/18, 23, 4
2018/4/19, 32, 3
2018/4/20, 37, 7
2018/4/21, 63, 2
2018/4/22, 25, 2
2018/4/23, 12, 3
2018/4/24, 24, 2
2018/4/25, 23, 1
2018/4/26, 27, 3
2018/4/27, 36, 1
2018/4/28, 99, 2
2018/4/29, 54, 2
2018/4/30, 49, 2
2018/5/1, 34, 2
2018/5/2, 23, 2
2018/5/3, 29, 2
2018/5/4, 25, 
2018/5/5, 383, 
2018/5/6, 242, 
2018/5/7, 111, 
2018/5/8, 56, 
2018/5/9, 20, 
2018/5/10, 20, 
2018/5/11, 20, 
2018/5/12, 16, 
2018/5/13, 14, 
2018/5/14, 16, 7
2018/5/15, 18, 3
2018/5/16, 16, 5
2018/5/17, 13, 2
2018/5/18, 18, 8
2018/5/19, 24, 1
2018/5/20, 20, 2
2018/5/21, 33, 1
2018/5/22, 62, 1
2018/5/23, 38, 1
2018/5/24, 34, 1
2018/5/25, 18, 1
2018/5/26, 25, 2
2018/5/27, 59, 8
2018/5/28, 82, 2
2018/5/29, 69, 1
2018/5/30, 45, 1
2018/5/31, 163, 1
2018/6/1, 36, 1
2018/6/2, 34, 2
2018/6/3, 31, 4
2018/6/4, 25, 1
2018/6/5, 32, 
2018/6/6, 41, 
2018/6/7, 26, 3
2018/6/8, 34, 5
2018/6/9, 32, 1
2018/6/10, 28, 1
2018/6/11, 23, 1
2018/6/12, 40, 1
2018/6/13, 49, 3
2018/6/14, 66, 5
2018/6/15, 63, 3
2018/6/16, 61, 2
2018/6/17, 26, 2
2018/6/18, 43, 8
2018/6/19, 49, 2
2018/6/20, 49, 2
2018/6/21, 58, 2
2018/6/22, 57, 2
2018/6/23, 46, 2
2018/6/24, 43, 1
2018/6/25, 34, 1
2018/6/26, 59, 1
2018/6/27, 53, 5
2018/6/28, 41, 7
2018/6/29, 49, 6
2018/6/30, 56, 6
2018/7/1, 55, 4
2018/1/2, 59, 7
2018/1/3, 32, 7
2018/1/4, 40, 6
2018/1/5, 25, 6
2018/1/6, 41, 9
2018/1/7, 34, 4
2018/1/8, 19, 4
2018/1/9, 20, 8
2018/1/10, 29, 7
2018/1/11, 31, 23
2018/1/12, 48, 21
2018/1/13, 63, 17
2018/1/14, 114, 12
2018/1/15, 65, 14
2018/1/16, 177, 15
2018/1/17, 130, 5
2018/1/18, 42, 6
2018/1/19, 76, 
2018/1/20, 123, 7
2018/1/21, 39, 6
2018/1/22, 54, 13
2018/1/23, 72, 8
2018/1/24, 127, 9
2018/1/25, 126, 8
2018/1/26, 94, 7
2018/1/27, 30, 9
2018/1/28, 77, 5
2018/1/29, 21, 15
2018/1/30, 53, 6
2018/1/31, 29, 9
2018/2/1, 36, 11
2018/2/2, 50, 8
2018/2/3, 51, 11
2018/2/4, 47, 8
2018/2/5, 37, 11
2018/2/6, 49, 14
2018/2/7, 67, 11
2018/2/8, 58, 6
2018/2/9, 61, 14
2018/2/10, 71, 8
2018/2/11, 57, 7
2018/2/12, 55, 
2018/3/1, 17, 3
2018/3/2, 23, 4
2018/3/3, 27, 5
2018/3/4, 45, 7
2018/3/5, 53, 6
2018/3/6, 62, 7
2018/3/7, 65, 7
2018/3/8, 88, 4
2018/3/9, 90, 4
2018/3/10, 63, 5
2018/3/11, 18, 4
2018/3/12, 22, 5
2018/3/13, 32, 4
2018/3/14, 34, 3
2018/3/15, 46, 2
2018/3/16, 39, 4
2018/3/17, 26, 5
2018/3/18, 21, 2
2018/3/19, 16, 3
2018/3/20, 28, 3
2018/3/21, 65, 5
2018/3/22, 68, 4
2018/3/23, 66, 3
2018/3/24, 62, 5
2018/3/25, 427, 3
2018/3/26, 41, 3
2018/3/27, 27, 2
2018/3/28, 55, 4
2018/3/29, 117, 4
2018/3/30, 125, 3
2018/3/31, 61, 
2017/10/2, 10, 2
2017/10/3, 10, 2
2017/10/4, 8, 1
2017/10/5, 10, 2
2017/10/6, 12, 5
2017/10/7, 10, 4
2017/10/8, 10, 4
2017/10/9, 10, 3
2017/10/10, 9, 3
2017/10/11, 11, 7
2017/10/12, 33, 3
2017/10/13, 20, 9
2017/10/14, 15, 4
2017/10/15, 13, 3
2017/10/16, 8, 1
2017/10/17, 13, 
2017/10/18, 30, 2
2017/10/19, 13, 4
2017/10/20, 32, 4
2017/10/21, 45, 4
2017/10/22, 28, 2
2017/10/23, 11, 7
2017/10/24, 11, 5
2017/10/25, 12, 6
2017/10/26, 17, 3
2017/10/27, 15, 2
2017/10/28, 11, 2
2017/10/29, 10, 1
2017/10/30, 11, 1
2017/10/31, 12, 2
2017/11/2, 329, 1
2017/11/3, 36, 1
2017/11/4, 36, 1
2017/11/5, 34, 1
2017/11/6, 61, 1
2017/11/7, 70, 2
2017/11/8, 392, 1
2017/11/9, 94, 1
2017/11/10, 38, 1
2017/11/11, 47, 2
2017/11/12, 68, 3
2017/11/13, 51, 3
2017/11/14, 52, 8
2017/11/15, 47, 2
2017/11/16, 74, 4
2017/11/17, 73, 4
2017/11/18, 69, 4
2017/11/19, 71, 5
2017/11/20, 64, 5
2017/11/21, 67, 5
2017/11/22, 129, 
2017/11/24, 45, 5
2017/11/25, 36, 5
2017/11/26, 43, 3
2017/11/27, 42, 5
2017/11/28, 52, 4
2017/11/29, 54, 6
2017/11/30, 50, 5
2017/12/1, 53, 6
2017/12/2, 24, 6
2017/12/3, 35, 4
2017/12/4, 21, 7
2017/12/5, 46, 8
2017/12/6, 65, 5
2017/12/7, 474, 4
2017/12/8, 26, 6
2017/12/9, 25, 8
2017/12/10, 49, 4
2017/12/11, 26, 7
2017/12/12, 29, 4
2017/12/13, 18, 11
2017/12/14, 22, 21
2017/12/15, 34, 15
2017/12/16, 52, 14
2017/12/17, 67, 7
2017/12/18, 56, 9
2017/12/19, 57, 11
2017/12/20, 48, 8
2017/12/21, 37, 7
2017/12/22, 115, 13
2017/12/23, 83, 13
2017/12/24, 60, 6
2017/12/25, 111, 4
2017/12/26, 83, 4
2017/12/27, 20, 9
2017/12/28, 33, 18
2017/12/29, 34, 9
2017/12/30, 32, 7
2017/12/31, 55, 
2017/7/2, 94, 2
2017/7/3, 81, 5
2017/7/4, 125, 3
2017/7/5, 91, 11
2017/7/6, 95, 2
2017/7/7, 88, 3
2017/7/8, 57, 2
2017/7/9, 75, 3
2017/7/10, 86, 5
2017/7/11, 81, 3
2017/7/12, 106, 3
2017/7/13, 66, 3
2017/7/14, 86, 4
2017/7/15, 173, 3
2017/7/16, 86, 2
2017/7/17, 63, 4
2017/7/18, 96, 3
2017/7/19, 103, 2
2017/7/20, 80, 2
2017/7/21, 78, 2
2017/7/22, 68, 3
2017/7/23, 62, 2
2017/7/24, 68, 2
2017/7/25, 61, 2
2017/7/26, 55, 2
2017/7/27, 63, 2
2017/7/28, 64, 3
2017/7/29, 73, 3
2017/7/30, 70, 2
2017/7/31, 64, 3
2017/8/1, 83, 2
2017/8/2, 90, 3
2017/8/3, 74, 3
2017/8/4, 62, 3
2017/8/5, 58, 2
2017/8/6, 46, 
2017/8/7, 23, 1
2017/8/8, 13, 5
2017/8/9, 23, 4
2017/8/10, 48, 2
2017/8/11, 37, 2
2017/8/12, 40, 2
2017/8/13, 55, 1
2017/8/14, 37, 2
2017/8/15, 35, 1
2017/8/16, 16, 1
2017/8/17, 20, 3
2017/8/18, 25, 1
2017/8/19, 44, 2
2017/8/20, 13, 3
2017/8/21, 17, 1
2017/8/22, 33, 2
2017/8/23, 32, 2
2017/8/24, 27, 2
2017/8/25, 33, 2
2017/8/26, 23, 4
2017/8/27, 10, 3
2017/8/28, 15, 3
2017/8/29, 9, 2
2017/8/30, 12, 1
2017/8/31, 11, 2
2017/9/1, 15, 1
2017/9/2, 10, 2
2017/9/3, 15, 2
2017/9/4, 11, 1
2017/9/5, 12, 3
2017/9/6, 10, 2
2017/9/7, 8, 
2017/9/12, 24, 3
2017/9/13, 38, 4
2017/9/14, 20, 3
2017/9/15, 8, 5
2017/9/16, 20, 6
2017/9/17, 35, 4
2017/9/18, 37, 6
2017/9/19, 26, 3
2017/9/20, 28, 4
2017/9/21, 33, 3
2017/9/22, 15, 2
2017/9/23, 28, 3
2017/9/24, 30, 3
2017/9/25, 18, 2
2017/9/26, 34, 2
2017/9/27, 31, 2
2017/9/28, 17, 9
2017/9/29, 11, 2
2017/9/30, 14, 1
2017/10/1, 9, 2
2017/4/2, 13, 2
2017/4/3, 11, 2
2017/4/4, 11, 8
2017/4/5, 12, 3
2017/4/6, 19, 8
2017/4/7, 33, 6
2017/4/8, 34, 1
2017/4/9, 29, 1
2017/4/10, 22, 1
2017/4/11, 14, 4
2017/4/12, 23, 4
2017/4/13, 28, 2
2017/4/14, 45, 1
2017/4/15, 150, 1
2017/4/16, 28, 1
2017/4/17, 13, 
2017/4/18, 38, 2
2017/4/19, 16, 1
2017/4/20, 16, 1
2017/4/21, 26, 3
2017/4/22, 39, 3
2017/4/23, 41, 1
2017/4/24, 131, 1
2017/4/25, 36, 1
2017/4/26, 35, 5
2017/4/27, 24, 5
2017/4/28, 51, 2
2017/4/29, 192, 1
2017/4/30, 56, 1
2017/5/1, 28, 1
2017/5/2, 45, 2
2017/5/3, 184, 1
2017/5/4, 42, 1
2017/5/5, 31, 15
2017/5/6, 30, 
2017/5/7, 32, 
2017/5/8, 43, 
2017/5/9, 35, 1
2017/5/10, 48, 1
2017/5/11, 81, 1
2017/5/12, 146, 1
2017/5/13, 36, 1
2017/5/14, 27, 1
2017/5/15, 51, 1
2017/5/16, 73, 1
2017/5/17, 35, 
2017/5/18, 18, 2
2017/5/19, 43, 1
2017/5/20, 259, 
2017/5/21, 207, 1
2017/5/22, 16, 1
2017/5/23, 28, 11
2017/5/24, 36, 1
2017/5/25, 16, 2
2017/5/26, 17, 2
2017/5/27, 40, 
2017/5/28, 47, 1
2017/5/29, 31, 3
2017/5/30, 67, 
2017/5/31, 41, 
2017/6/1, 36, 2
2017/6/2, 36, 5
2017/6/3, 31, 1
2017/6/4, 27, 1
2017/6/5, 33, 1
2017/6/6, 45, 
2017/6/7, 43, 1
2017/6/8, 71, 2
2017/6/9, 73, 1
2017/6/10, 59, 1
2017/6/11, 88, 
2017/6/12, 51, 1
2017/6/13, 46, 
2017/6/14, 51, 1
2017/6/15, 78, 1
2017/6/16, 69, 1
2017/6/17, 66, 1
2017/6/18, 55, 2
2017/6/19, 37, 17
2017/6/20, 68, 1
2017/6/21, 85, 1
2017/6/22, 62, 3
2017/6/23, 79, 1
2017/6/24, 102, 1
2017/6/25, 132, 1
2017/6/26, 97, 1
2017/6/27, 79, 1
2017/6/28, 80, 3
2017/6/29, 79, 1
2017/6/30, 111, 1
2017/7/1, 113, 2
2017/1/3, 43, 9
2017/1/4, 11, 6
2017/1/5, 33, 12
2017/1/6, 40, 17
2017/1/7, 39, 9
2017/1/8, 23, 9
2017/1/9, 59, 3
2017/1/10, 242, 4
2017/1/11, 218, 8
2017/1/12, 86, 15
2017/1/13, 54, 11
2017/1/14, 52, 10
2017/1/15, 32, 9
2017/1/16, 39, 23
2017/1/17, 46, 23
2017/1/18, 50, 26
2017/1/19, 53, 12
2017/1/20, 50, 15
2017/1/21, 49, 10
2017/1/22, 36, 7
2017/1/23, 24, 7
2017/1/24, 26, 20
2017/1/25, 46, 11
2017/1/26, 34, 22
2017/1/27, 56, 2
2017/1/28, 42, 7
2017/1/29, 32, 7
2017/1/30, 26, 15
2017/1/31, 42, 10
2017/2/1, 37, 6
2017/2/2, 25, 4
2017/2/3, 26, 53
2017/2/4, 999, 19
2017/2/5, 412, 8
2017/2/6, 32, 10
2017/2/7, 28, 8
2017/2/8, 34, 
2017/2/14, 38, 8
2017/2/15, 43, 6
2017/2/16, 28, 5
2017/2/17, 42, 1
2017/2/18, 29, 3
2017/2/19, 54, 8
2017/2/20, 10, 18
2017/2/21, 6, 17
2017/2/22, 2, 12
2017/2/23, 4, 15
2017/2/24, 2, 11
2017/2/25, 3, 9
2017/2/26, 2, 8
2017/2/27, 3, 8
2017/2/28, 3, 16
2017/3/1, 3, 19
2017/3/2, 2, 21
2017/3/3, 25, 11
2017/3/4, 43, 3
2017/3/5, 26, 4
2017/3/6, 26, 8
2017/3/7, 36, 8
2017/3/8, 38, 5
2017/3/9, 40, 7
2017/3/10, 41, 5
2017/3/11, 44, 7
2017/3/12, 59, 4
2017/3/13, 44, 4
2017/3/14, 42, 2
2017/3/15, 19, 2
2017/3/16, 10, 2
2017/3/17, 18, 4
2017/3/18, 23, 3
2017/3/19, 15, 6
2017/3/20, 62, 3
2017/3/21, 48, 3
2017/3/22, 17, 4
2017/3/23, 19, 4
2017/3/24, 11, 1
2017/3/25, 15, 3
2017/3/26, 28, 4
2017/3/27, 31, 4
2017/3/28, 44, 2
2017/3/29, 374, 1
2017/3/30, 410, 3
2017/3/31, 39, 2
2017/4/1, 37, 1
2016/10/2, 28, 5
2016/10/3, 31, 6
2016/10/4, 43, 7
2016/10/5, 52, 9
2016/10/6, 58, 7
2016/10/7, 56, 6
2016/10/8, 58, 5
2016/10/9, 56, 5
2016/10/10, 55, 5
2016/10/11, 59, 4
2016/10/12, 64, 7
2016/10/13, 60, 5
2016/10/14, 66, 3
2016/10/15, 107, 2
2016/10/16, 37, 3
2016/10/17, 21, 4
2016/10/18, 36, 8
2016/10/19, 67, 4
2016/10/20, 54, 4
2016/10/21, 40, 4
2016/10/22, 43, 5
2016/10/23, 48, 12
2016/10/24, 61, 51
2016/10/25, 86, 76
2016/10/26, 71, 16
2016/10/27, 39, 7
2016/10/28, 58, 6
2016/10/29, 60, 4
2016/10/30, 28, 2
2016/10/31, 42, 3
2016/11/1, 20, 3
2016/11/2, 14, 4
2016/11/3, 9, 12
2016/11/4, 24, 12
2016/11/5, 26, 14
2016/11/6, 28, 6
2016/11/7, 19, 10
2016/11/8, 38, 12
2016/11/9, 48, 10
2016/11/10, 47, 12
2016/11/11, 55, 12
2016/11/12, 65, 10
2016/11/13, 62, 7
2016/11/14, 59, 11
2016/11/15, 83, 23
2016/11/16, 97, 11
2016/11/17, 84, 5
2016/11/18, 22, 6
2016/11/19, 9, 4
2016/11/20, 11, 5
2016/11/21, 16, 5
2016/11/22, 16, 8
2016/11/23, 18, 14
2016/11/24, 37, 13
2016/11/25, 44, 18
2016/11/26, 47, 20
2016/11/27, 54, 33
2016/11/28, 80, 33
2016/11/29, 78, 27
2016/11/30, 65, 14
2016/12/1, 78, 4
2016/12/2, 26, 
2016/12/6, 4, 3
2016/12/7, 13, 
2016/12/10, 29, 
2016/12/15, 29, 5
2016/12/16, 19, 8
2016/12/17, 53, 8
2016/12/18, 58, 7
2016/12/19, 28, 10
2016/12/20, 27, 7
2016/12/21, 35, 15
2016/12/22, 47, 28
2016/12/23, 48, 30
2016/12/24, 42, 8
2016/12/25, 23, 3
2016/12/26, 16, 4
2016/12/27, 24, 21
2016/12/28, 42, 13
2016/12/29, 37, 16
2016/12/30, 39, 22
2016/12/31, 51, 15
2017/1/1, 75, 
2016/7/2, 35, 3
2016/7/3, 28, 3
2016/7/4, 25, 3
2016/7/5, 29, 2
2016/7/6, 56, 3
2016/7/7, 110, 3
2016/7/8, 92, 1
2016/7/9, 74, 4
2016/7/10, 35, 3
2016/7/11, 21, 4
2016/7/12, 70, 2
2016/7/13, 38, 3
2016/7/14, 36, 5
2016/7/15, 37, 4
2016/7/16, 36, 3
2016/7/17, 40, 4
2016/7/18, 38, 3
2016/7/19, 58, 2
2016/7/20, 70, 4
2016/7/21, 67, 7
2016/7/22, 36, 1
2016/7/23, 45, 3
2016/7/24, 36, 3
2016/7/25, 36, 5
2016/7/26, 59, 5
2016/7/27, 43, 4
2016/7/28, 45, 4
2016/7/29, 38, 3
2016/7/30, 31, 4
2016/7/31, 47, 4
2016/8/1, 47, 3
2016/8/2, 41, 4
2016/8/3, 41, 3
2016/8/4, 43, 4
2016/8/5, 50, 4
2016/8/6, 64, 4
2016/8/7, 68, 2
2016/8/8, 117, 2
2016/8/9, 61, 3
2016/8/10, 53, 3
2016/8/11, 68, 6
2016/8/12, 57, 4
2016/8/13, 65, 4
2016/8/14, 58, 2
2016/8/15, 41, 4
2016/8/16, 48, 3
2016/8/17, 63, 2
2016/8/18, 68, 2
2016/8/19, 52, 5
2016/8/20, 59, 5
2016/8/21, 68, 8
2016/8/22, 59, 5
2016/8/23, 60, 3
2016/8/24, 60, 5
2016/8/25, 62, 5
2016/8/26, 70, 4
2016/8/27, 143, 5
2016/8/28, 258, 4
2016/8/29, 62, 5
2016/8/30, 51, 3
2016/8/31, 76, 10
2016/9/1, 73, 4
2016/9/2, 51, 3
2016/9/3, 34, 3
2016/9/4, 46, 3
2016/9/5, 50, 3
2016/9/6, 46, 5
2016/9/7, 47, 2
2016/9/8, 47, 5
2016/9/9, 58, 7
2016/9/10, 56, 7
2016/9/11, 57, 4
2016/9/12, 52, 3
2016/9/13, 29, 3
2016/9/14, 38, 4
2016/9/15, 42, 3
2016/9/16, 47, 4
2016/9/17, 43, 3
2016/9/18, 21, 3
2016/9/19, 23, 5
2016/9/20, 28, 5
2016/9/21, 34, 3
2016/9/22, 52, 5
2016/9/23, 94, 3
2016/9/24, 41, 3
2016/9/25, 41, 3
2016/9/26, 19, 5
2016/9/27, 36, 8
2016/9/28, 71, 5
2016/9/29, 146, 1
2016/9/30, 281, 2
2016/10/1, 67, 3
2016/4/2, 14, 7
2016/4/3, 19, 5
2016/4/4, 27, 7
2016/4/5, 26, 11
2016/4/6, 41, 13
2016/4/7, 54, 9
2016/4/8, 79, 5
2016/4/9, 49, 5
2016/4/10, 55, 5
2016/4/11, 58, 5
2016/4/12, 36, 3
2016/4/13, 34, 4
2016/4/14, 27, 4
2016/4/15, 36, 5
2016/4/16, 28, 2
2016/4/17, 28, 4
2016/4/18, 14, 2
2016/4/19, 15, 3
2016/4/20, 22, 3
2016/4/21, 27, 4
2016/4/22, 51, 3
2016/4/23, 34, 3
2016/4/24, 25, 3
2016/4/25, 33, 8
2016/4/26, 65, 4
2016/4/27, 44, 6
2016/4/28, 112, 5
2016/4/29, 72, 4
2016/4/30, 37, 5
2016/5/1, 38, 4
2016/5/2, 39, 4
2016/5/3, 40, 3
2016/5/4, 40, 4
2016/5/5, 36, 4
2016/5/6, 24, 3
2016/5/7, 32, 3
2016/5/8, 17, 3
2016/5/9, 13, 3
2016/5/10, 21, 4
2016/5/11, 27, 3
2016/5/12, 49, 8
2016/5/13, 25, 3
2016/5/14, 42, 3
2016/5/15, 79, 2
2016/5/16, 70, 2
2016/5/17, 65, 1
2016/5/18, 67, 3
2016/5/19, 57, 4
2016/5/20, 39, 3
2016/5/21, 20, 3
2016/5/22, 22, 4
2016/5/23, 29, 2
2016/5/24, 77, 3
2016/5/25, 41, 2
2016/5/26, 26, 5
2016/5/27, 48, 3
2016/5/28, 63, 2
2016/5/29, 70, 1
2016/5/30, 24, 2
2016/5/31, 21, 3
2016/6/1, 31, 1
2016/6/2, 36, 2
2016/6/3, 38, 4
2016/6/4, 40, 3
2016/6/5, 79, 5
2016/6/6, 77, 3
2016/6/7, 40, 2
2016/6/8, 38, 3
2016/6/9, 18, 3
2016/6/10, 72, 3
2016/6/11, 20, 4
2016/6/12, 29, 2
2016/6/13, 24, 4
2016/6/14, 26, 4
2016/6/15, 47, 4
2016/6/16, 67, 2
2016/6/17, 70, 4
2016/6/18, 41, 2
2016/6/19, 70, 4
2016/6/20, 80, 3
2016/6/21, 69, 3
2016/6/22, 65, 4
2016/6/23, 46, 3
2016/6/24, 50, 4
2016/6/25, 56, 3
2016/6/26, 32, 2
2016/6/27, 37, 4
2016/6/28, 62, 3
2016/6/29, 82, 2
2016/6/30, 64, 3
2016/7/1, 62, 1
2016/1/5, 38, 6
2016/1/6, 10, 10
2016/1/7, 2, 8
2016/1/8, 2, 4
2016/1/9, 2, 7
2016/1/10, 3, 9
2016/1/11, 5, 11
2016/1/12, 2, 9
2016/1/13, 3, 9
2016/1/14, 2, 5
2016/1/15, 2, 4
2016/1/16, 2, 7
2016/1/17, 4, 9
2016/1/18, 4, 11
2016/1/19, 1, 4
2016/1/20, 1, 8
2016/1/21, 2, 7
2016/1/22, 3, 8
2016/1/23, 4, 11
2016/1/24, 2, 5
2016/1/25, 1, 5
2016/1/26, 1, 9
2016/1/27, 2, 8
2016/1/28, 3, 8
