date, pm10, o3, no2, so2
2021/2/5, 43, 22, 23, 7
2021/2/6, 36, 29, 15, 5
2021/2/7, 18, 29, 16, 7
2021/2/8, 24, 20, 24, 9
2021/2/9, 38, 26, 16, 5
2021/2/10, 49, 24, 22, 6
2021/2/11, 36, 29, 20, 5
2021/2/12, 74, 34, 10, 4
2021/2/13, 69, 33, 8, 4
2021/2/14, 46, 36, 7, 3
2021/2/15, 46, 43, 6, 3
2021/2/16, 60, 42, 6, 3
2021/2/17, 71, 35, 7, 3
2021/2/18, 43, 37, 11, 3
2021/2/19, 25, 36, 14, 4
2021/2/20, 39, 39, 12, 4
2021/2/21, 41, 34, 9, 3
2021/2/22, 13, 38, 16, 5
2021/2/23, 20, 35, 12, 4
2021/2/24, 53, 36, 15, 4
2021/2/25, 41, 32, 16, 4
2021/2/26, 26, 40, 7, 3
2021/2/27, 46, 1, 17, 7
2021/2/28, 43, 33, 5, 3
2021/3/1, 39, 32, 13, 3
2021/3/2, 27, 31, 15, 4
2021/3/3, 36, 35, 7, 4
2021/3/4, 55, 34, 12, 3
2021/3/5, 41, 34, 12, 3
2021/3/6, 53, 33, 15, 4
2021/3/7, 61, 33, 9, 3
2021/3/8, 62, 34, 11, 3
2021/3/9, 12, 34, 18, 4
2021/3/10, 26, 34, 14, 4
2021/3/11, 63, 28, 17, 3
2021/3/12, 59, 33, 8, 3
2021/3/13, 18, 35, 13, 3
2021/3/14, 28, 34, 10, 4
2021/3/15, 42, 31, 15, 3
2021/3/16, 32, 36, 10, 4
2021/3/17, 42, 39, 9, 2
2021/3/18, 46, 38, 10, 2
2021/3/19, 30, 36, 9, 3
2021/3/20, 33, 32, 8, 3
2021/3/21, 44, 25, 11, 4
2021/3/22, 37, 28, 7, 3
2021/3/23, 55, 29, 10, 3
2021/3/24, 77, 31, 9, 2
2021/3/25, 50, 36, 9, 3
2021/3/26, 21, 36, 9, 3
2021/3/27, 27, 38, 6, 3
2021/3/28, 21, 37, 8, 3
2021/3/29, 34, 36, 9, 3
2021/3/30, 57, 38, 7, 3
2021/3/31, 58, 40, 11, 3
2021/4/1, 59, 42, 9, 4
2020/10/2, 30, 33, 11, 1
2020/10/3, 25, 30, 10, 1
2020/10/4, 24, 31, 8, 1
2020/10/5, 25, 31, 9, 1
2020/10/6, 24, 29, 11, 1
2020/10/7, 19, 31, 7, 1
2020/10/8, 21, 26, 14, 1
2020/10/9, 22, 27, 15, 1
2020/10/10, 28, 28, 13, 1
2020/10/11, 36, 27, 19, 1
2020/10/12, 38, 27, 19, 1
2020/10/13, 50, 26, 15, 1
2020/10/14, 46, 27, 17, 2
2020/10/15, 39, 27, 15, 2
2020/10/16, 49, 28, 13, 1
2020/10/17, 45, 27, 17, 1
2020/10/18, 37, 31, 14, 2
2020/10/19, 45, 32, 9, 2
2020/10/20, 45, 15, 7, 1
2020/10/21, 41, 18, 6, 1
2020/10/22, 19, 19, 5, 2
2020/10/23, 24, 18, 4, 1
2020/10/24, 32, 19, 6, 2
2020/10/25, 32, 17, 7, 3
2020/10/26, 47, 23, 9, 5
2020/10/27, 53, 24, 8, 4
2020/10/28, 52, 15, 5, 2
2020/10/29, 51, , , 
2020/12/1, 40, 12, 17, 6
2020/12/2, 45, 31, 16, 8
2020/12/3, 29, 18, 19, 8
2020/12/4, 41, 20, 10, 3
2020/12/5, 43, 27, 7, 3
2020/12/6, 21, 22, 9, 5
2020/12/7, 18, 20, 18, 7
2020/12/8, 23, 14, 16, 5
2020/12/9, 35, 15, 15, 3
2020/12/10, 27, 23, 12, 4
2020/12/11, 20, 21, 17, 7
2020/12/12, 24, 18, 12, 5
2020/12/13, 39, 23, 14, 5
2020/12/14, 26, 16, 21, 5
2020/12/15, 29, 21, 16, 4
2020/12/16, 24, 19, 14, 4
2020/12/17, 21, 17, 12, 4
2020/12/18, 16, 18, 11, 4
2020/12/19, 21, 3, , 
2020/12/20, 29, , , 
2020/12/22, 20, 17, 15, 5
2020/12/23, 34, 22, 11, 3
2020/12/24, 18, 18, 16, 5
2020/12/25, 13, 18, 18, 6
2020/12/26, 18, 20, 26, 7
2020/12/27, 26, 20, 25, 8
2020/12/28, 33, 14, 29, 7
2020/12/29, 38, 12, 38, 10
2020/12/30, 43, 14, 38, 9
2020/12/31, 47, 13, 39, 10
2021/1/1, 43, 19, 28, 9
2021/1/2, 38, 18, 24, 10
2021/1/3, 29, 18, 27, 8
2021/1/4, 32, 16, 28, 8
2020/7/2, 19, 34, 4, 
2020/7/3, 22, 43, 4, 
2020/7/4, 30, 48, 3, 
2020/7/5, 24, 41, 2, 
2020/7/6, 24, 35, 3, 
2020/7/7, 24, 37, 4, 
2020/7/8, 28, 39, 2, 
2020/7/9, 27, 32, 2, 
2020/7/10, 19, 27, 3, 
2020/7/11, 16, 35, 2, 
2020/7/12, 17, 38, 2, 
2020/7/13, 17, 41, 2, 
2020/7/14, 15, 33, 3, 
2020/7/15, 16, 32, 3, 
2020/7/16, 17, 35, 3, 
2020/7/17, 21, 33, 3, 
2020/7/18, 24, 32, , 
2020/7/19, 29, , , 
2020/7/21, 38, 29, 3, 
2020/7/22, 34, 32, 5, 
2020/7/23, 23, 40, 6, 
2020/7/24, 17, 34, 8, 
2020/7/25, 19, 36, 11, 
2020/7/26, 29, 47, 9, 
2020/7/27, 39, 48, 12, 
2020/7/28, 37, 29, 11, 
2020/7/29, 42, 32, 8, 
2020/7/30, 38, 32, 9, 
2020/7/31, 27, 29, 7, 
2020/8/1, 22, 27, 5, 
2020/8/2, 15, 31, 4, 
2020/8/3, 13, 31, 6, 
2020/8/4, 12, 30, 9, 
2020/8/5, 16, 29, 12, 
2020/8/6, 25, 33, 12, 
2020/8/7, 27, 33, 10, 
2020/8/8, 26, 39, 12, 
2020/8/9, 30, 46, 12, 
2020/8/10, 35, 36, 9, 
2020/8/11, 32, 29, 7, 
2020/8/12, 26, 32, 5, 
2020/8/13, 24, 25, 6, 
2020/8/14, 25, 22, 6, 
2020/8/15, 24, 21, 7, 
2020/8/16, 24, 18, 6, 
2020/8/17, 23, 13, 7, 
2020/8/18, 19, 16, 10, 
2020/8/19, 23, 16, 8, 
2020/8/20, 28, 16, 11, 1
2020/8/21, 28, 12, 10, 
2020/8/22, 32, 14, 6, 
2020/8/23, 18, 14, 5, 
2020/8/24, 13, 13, 10, 
2020/8/25, 19, 10, 18, 1
2020/8/26, 25, 11, 12, 1
2020/8/27, 32, 9, 10, 1
2020/8/28, 24, 9, 11, 
2020/8/29, 25, 8, 12, 1
2020/8/30, 24, 7, 12, 1
2020/8/31, 25, 7, 12, 1
2020/9/1, 28, 30, 19, 7
2020/9/2, 32, 38, 10, 
2020/9/3, 44, 36, 13, 
2020/9/4, 35, 41, 9, 1
2020/9/5, 28, 39, 6, 1
2020/9/6, 29, 32, 5, 1
2020/9/7, 30, 33, 8, 
2020/9/8, 26, 35, 6, 
2020/9/9, 22, 32, 5, 
2020/9/10, 21, 29, 11, 
2020/9/11, 20, 33, 13, 1
2020/9/12, 34, 34, 11, 1
2020/9/13, 29, 31, 11, 1
2020/9/14, 36, 31, 11, 1
2020/9/15, 36, 30, 11, 1
2020/9/16, 40, 30, 11, 1
2020/9/17, 38, 27, 16, 1
2020/9/18, 31, 35, 10, 1
2020/9/19, 40, 32, 7, 1
2020/9/20, 29, 34, 10, 1
2020/9/21, 24, 24, 20, 1
2020/9/22, 29, 25, 13, 1
2020/9/23, 43, 31, 11, 1
2020/9/24, 31, 32, 9, 1
2020/9/25, 30, 27, 9, 1
2020/9/26, 28, 31, 9, 1
2020/9/27, 24, 32, 5, 
2020/9/28, 23, 26, 9, 1
2020/9/29, 37, 31, 10, 1
2020/9/30, 44, 25, 9, 1
2020/10/1, 39, 34, 10, 1
2020/4/2, 17, 35, 1, 
2020/4/3, 10, 31, 1, 1
2020/4/4, 16, 33, 2, 1
2020/4/5, 13, 30, 1, 1
2020/4/6, 17, 26, 2, 1
2020/4/7, 24, 28, , 1
2020/4/8, 20, 32, 1, 
2020/4/9, 17, 32, , 1
2020/4/10, 19, 34, 4, 1
2020/4/11, 22, 39, 2, 1
2020/4/12, 19, 35, 2, 1
2020/4/13, 25, 33, 4, 2
2020/4/14, 18, 33, 4, 2
2020/4/15, 19, 37, 4, 2
2020/4/16, 21, 31, 4, 1
2020/4/17, 19, 29, 7, 1
2020/4/18, 19, 31, 4, 1
2020/4/19, 24, 38, 3, 1
2020/4/20, 22, 28, 7, 1
2020/4/21, 20, 30, 5, 
2020/4/22, 17, 28, 5, 
2020/4/23, 15, 32, 3, 
2020/4/24, 12, 33, 2, 1
2020/4/25, 9, 29, 3, 1
2020/4/26, 12, 26, 5, 1
2020/4/27, 12, 40, 3, 1
2020/4/28, 17, 37, 4, 1
2020/4/29, 18, 41, 3, 1
2020/4/30, 22, 34, 3, 1
2020/5/1, 20, 32, , 1
2020/5/2, 16, 33, , 1
2020/5/3, 15, 34, , 1
2020/5/4, 10, 27, , 1
2020/5/5, 13, 25, , 1
2020/5/6, 19, 26, , 1
2020/5/7, 15, 36, , 1
2020/5/8, 10, 28, , 1
2020/5/9, 16, 27, , 1
2020/5/10, 11, 34, , 1
2020/5/11, 9, 33, , 1
2020/5/12, 17, 34, , 1
2020/5/13, 22, 40, , 1
2020/5/14, 32, 35, , 1
2020/5/15, 33, 33, , 1
2020/5/16, 25, 34, , 1
2020/5/17, 50, 37, , 1
2020/5/18, 48, 35, , 1
2020/5/19, 30, 38, , 1
2020/5/20, 35, 34, , 1
2020/5/21, 18, 25, , 1
2020/5/22, 30, 32, , 1
2020/5/23, 47, 31, , 1
2020/5/24, 39, 30, , 1
2020/5/25, 6, 32, , 1
2020/5/26, 8, 33, , 1
2020/5/27, 12, 31, , 1
2020/5/28, 14, 26, , 1
2020/5/29, 20, 36, , 1
2020/5/30, 37, 37, , 1
2020/5/31, 23, 37, , 1
2020/6/1, 15, 41, , 1
2020/6/2, 20, 36, , 1
2020/6/3, 26, 34, , 1
2020/6/4, 23, 40, , 1
2020/6/5, 20, 38, , 1
2020/6/6, 16, 36, , 1
2020/6/7, 16, 41, , 1
2020/6/8, 17, 38, , 1
2020/6/9, 19, 35, , 1
2020/6/10, 28, 39, , 1
2020/6/11, 25, 38, , 1
2020/6/12, 29, 35, , 1
2020/6/13, 31, 38, , 1
2020/6/14, 31, 36, , 1
2020/6/19, 30, 29, 3, 
2020/6/20, 22, 35, 2, 
2020/6/21, 20, 31, 2, 
2020/6/22, 17, 34, 2, 
2020/6/23, 19, 35, 3, 
2020/6/24, 22, 40, 2, 
2020/6/25, 31, 26, 2, 
2020/6/26, 28, , , 
2020/6/30, 20, 31, 2, 
2020/7/1, 19, 33, 2, 
2020/1/2, 31, 18, 11, 5
2020/1/3, 28, 110, 14, 6
2020/1/4, 35, 22, 15, 8
2020/1/5, 23, 26, 9, 5
2020/1/6, 29, 20, 19, 10
2020/1/7, 37, 28, 12, 9
2020/1/8, 43, 26, 18, 8
2020/1/9, 24, 23, 11, 8
2020/1/10, 34, 23, 8, 7
2020/1/11, 23, 21, 13, 7
2020/1/12, 26, 22, 10, 6
2020/1/13, 32, 22, 9, 6
2020/1/14, 18, 25, 13, 9
2020/1/15, 18, 22, 23, 12
2020/1/16, 47, 29, 12, 9
2020/1/17, 37, 28, 17, 10
2020/1/18, 39, 28, 19, 12
2020/1/19, 51, 23, 22, 14
2020/1/20, 51, 23, 31, 16
2020/1/21, 54, 22, 13, 10
2020/1/22, 46, 20, 12, 8
2020/1/23, 29, 21, 6, 5
2020/1/24, 25, 24, 8, 4
2020/1/25, 15, 25, 12, 5
2020/1/26, 16, 17, 17, 9
2020/1/27, 35, 24, 24, 11
2020/1/28, 39, 20, 22, 14
2020/1/29, 59, 29, 15, 11
2020/1/30, 40, 23, 13, 9
2020/1/31, 31, 29, 5, 5
2020/2/1, 20, 27, 7, 4
2020/2/2, 13, 25, 13, 6
2020/2/3, 19, 24, 13, 7
2020/2/4, 23, 22, 15, 4
2020/2/5, 21, 24, 13, 7
2020/2/6, 27, 33, 4, 7
2020/2/7, 22, 33, 8, 3
2020/2/8, 26, 25, 5, 2
2020/2/9, 19, 25, 6, 3
2020/2/10, 14, 26, 7, 3
2020/2/11, 15, 27, 7, 4
2020/2/12, 19, 24, 15, 7
2020/2/13, 32, 25, 13, 6
2020/2/14, 32, 29, 18, 6
2020/2/15, 22, 31, 18, 7
2020/2/16, 29, 38, 27, 11
2020/2/17, 50, 30, 25, 8
2020/2/18, 48, 33, 34, 12
2020/2/19, 50, 28, 25, 11
2020/2/20, 54, 33, 22, 8
2020/2/21, 51, 27, 20, 8
2020/2/22, 50, 27, 19, 7
2020/2/23, 37, 27, 14, 4
2020/2/24, 28, 27, 15, 6
2020/2/25, 31, 26, 5, 4
2020/2/26, 34, 30, , 1
2020/2/27, 26, 28, , 2
2020/2/28, 44, 26, 19, 2
2020/2/29, 37, 26, 13, 1
2020/3/1, 42, 31, 6, 1
2020/3/2, 15, 30, 8, 1
2020/3/3, 15, 27, 23, 1
2020/3/4, 36, 30, 11, 1
2020/3/5, 41, 30, 14, 1
2020/3/6, 51, 34, 20, 2
2020/3/7, 50, 28, 15, 2
2020/3/8, 50, 30, 9, 2
2020/3/9, 54, 37, 10, 1
2020/3/10, 53, 38, 16, 2
2020/3/11, 55, 35, 11, 2
2020/3/12, 56, 36, 15, 2
2020/3/13, 49, 34, 9, 1
2020/3/14, 41, 25, 11, 1
2020/3/15, 29, 31, 6, 1
2020/3/16, 17, 28, 7, 1
2020/3/17, 15, 28, 5, 1
2020/3/18, 10, 25, 6, 1
2020/3/19, 12, 26, 11, 2
2020/3/20, 12, 33, 10, 2
2020/3/21, 19, 26, 10, 2
2020/3/22, 19, 29, 9, 3
2020/3/23, 32, 28, 8, 3
2020/3/24, 26, 31, 7, 3
2020/3/25, 27, 29, 12, 3
2020/3/26, 34, 28, 6, 1
2020/3/27, 34, 29, 5, 1
2020/3/28, 19, 28, 6, 2
2020/3/29, 28, 22, 2, 1
2020/3/30, 25, , , 
2019/10/2, 20, 36, 12, 1
2019/10/3, 45, 35, 15, 2
2019/10/4, 39, 41, 15, 2
2019/10/5, 34, 39, 13, 1
2019/10/6, 34, 37, 15, 2
2019/10/7, 32, 35, 8, 1
2019/10/8, 20, 35, 6, 1
2019/10/9, 29, 33, 14, 1
2019/10/10, 32, 28, 21, 2
2019/10/11, 43, 37, 11, 2
2019/10/12, 35, 34, 10, 5
2019/10/13, 26, 27, 14, 2
2019/10/14, 23, 25, 18, 2
2019/10/15, 30, 28, 18, 2
2019/10/16, 27, 85, 9, 2
2019/10/17, 26, 31, 18, 4
2019/10/18, 19, 53, 13, 1
2019/10/19, 15, 33, 12, 1
2019/10/20, 50, 23, 13, 1
2019/10/21, 11, 53, 10, 1
2019/10/22, 12, 17, 16, 1
2019/10/23, 13, 22, 11, 4
2019/10/24, 54, 21, 13, 1
2019/10/25, 10, 26, 10, 1
2019/10/26, 10, 28, 10, 1
2019/10/27, 9, 22, 12, 2
2019/10/28, 11, 82, 15, 2
2019/10/29, 10, 22, 13, 2
2019/10/30, 12, 22, 14, 2
2019/10/31, 15, 21, 15, 2
2019/11/1, 12, 20, 11, 2
2019/11/2, 11, 27, 10, 1
2019/11/3, 9, 87, 12, 2
2019/11/4, 10, 20, 19, 5
2019/11/5, 12, 22, 19, 6
2019/11/6, 11, 21, 20, 7
2019/11/7, 11, 19, 18, 6
2019/11/8, 12, 23, 17, 7
2019/11/9, 12, 17, 21, 11
2019/11/10, 13, 19, 18, 7
2019/11/11, 12, 23, 18, 9
2019/11/12, 11, 18, 20, 10
2019/11/13, 12, 20, 22, 9
2019/11/14, 11, 6, 26, 11
2019/11/15, 12, 19, 24, 9
2019/11/16, 14, 20, 16, 8
2019/11/17, 12, 20, 17, 8
2019/11/18, 11, 22, 16, 6
2019/11/19, 20, 21, 17, 8
2019/11/20, 29, 20, 18, 10
2019/11/21, 37, 19, 16, 8
2019/11/22, 32, 30, 14, 17
2019/11/23, 29, 22, , 14
2019/11/24, 98, 26, 40, 15
2019/11/25, 73, 27, 23, 14
2019/11/26, 65, 37, 17, 9
2019/11/27, 63, 45, 13, 11
2019/11/28, 56, 25, 16, 7
2019/11/29, 42, 27, 13, 5
2019/11/30, 34, 25, 14, 4
2019/12/1, 28, 17, 12, 4
2019/12/2, 29, 25, 9, 4
2019/12/3, 19, 21, 15, 6
2019/12/4, 26, 27, 6, 7
2019/12/5, 57, 26, 10, 5
2019/12/6, 37, 22, 21, 9
2019/12/7, 25, 28, 17, 9
2019/12/8, 42, 109, 15, 9
2019/12/9, 42, 99, 24, 10
2019/12/10, 43, 22, 23, 10
2019/12/11, 51, 23, 23, 11
2019/12/12, 49, 21, 22, 12
2019/12/13, 47, 20, 18, 7
2019/12/14, 44, 17, 19, 11
2019/12/15, 31, 24, 20, 10
2019/12/16, 32, 15, 20, 7
2019/12/17, 30, 20, 15, 7
2019/12/18, 33, 19, 13, 9
2019/12/19, 32, 20, 14, 12
2019/12/20, 41, 17, 14, 12
2019/12/21, 50, 18, 14, 14
2019/12/22, 51, 15, 20, 16
2019/12/23, 60, 29, 13, 10
2019/12/24, 42, 36, 6, 8
2019/12/25, 47, 32, 10, 9
2019/12/26, 47, 28, 9, 7
2019/12/27, 35, 23, 10, 4
2019/12/28, 23, 17, 11, 6
2019/12/29, 17, 26, 10, 7
2019/12/30, 23, , , 
2019/7/7, 1, 23, 4, 2
2019/7/8, 1, 23, 4, 2
2019/7/9, 142, 32, 7, 2
2019/7/10, 278, 24, 6, 2
2019/7/11, 13, 24, 5, 2
2019/7/12, 137, 82, 13, 2
2019/7/13, 17, 24, 8, 2
2019/7/14, 12, 25, 7, 2
2019/7/15, 10, 26, 9, 2
2019/7/16, 22, 26, 10, 2
2019/7/17, 17, 23, 10, 2
2019/7/18, 16, 25, 10, 2
2019/7/19, 37, 25, 8, 2
2019/7/20, 32, 21, 8, 2
2019/7/21, 19, 23, 7, 2
2019/7/22, 20, 21, 6, 2
2019/7/23, 199, 22, 6, 2
2019/7/24, 13, 20, 6, 2
2019/7/25, 64, 30, 6, 2
2019/7/26, 52, 50, 9, 31
2019/7/27, 13, 20, 25, 1
2019/7/28, 19, 38, 8, 3
2019/7/29, 22, 37, 9, 3
2019/7/30, 28, 46, 13, 3
2019/7/31, 25, 46, 9, 5
2019/8/1, 40, 44, 12, 3
2019/8/2, 30, 41, 8, 3
2019/8/3, 23, 36, 7, 3
2019/8/4, 21, 36, 8, 3
2019/8/5, 31, 21, 20, 3
2019/8/6, 18, 8, 38, 3
2019/8/7, 56, 22, 32, 3
2019/8/8, 19, 29, 7, 3
2019/8/9, 25, 34, 8, 3
2019/8/10, 32, 44, 13, 3
2019/8/11, 27, 36, 11, 3
2019/8/12, 23, 39, 8, 3
2019/8/13, 23, 38, 10, 3
2019/8/14, 64, 34, 12, 3
2019/8/15, 29, 42, 11, 3
2019/8/16, 41, 42, 13, 3
2019/8/17, 62, 44, 14, 4
2019/8/18, 34, 34, 7, 2
2019/8/19, 25, 41, 7, 2
2019/8/20, 37, 70, 18, 3
2019/8/21, 42, 46, 12, 3
2019/8/22, 42, 42, 11, 3
2019/8/23, 31, 38, 7, 2
2019/8/24, 23, 35, 7, 2
2019/8/25, 23, 37, 10, 1
2019/8/26, 27, 43, 4, 1
2019/8/27, 141, 80, 13, 1
2019/8/28, 26, 38, 9, 1
2019/8/29, 26, 36, 9, 1
2019/8/30, 30, 42, 9, 1
2019/8/31, 30, 45, 14, 1
2019/9/1, 129, 46, 8, 1
2019/9/2, 17, 43, 7, 1
2019/9/3, 20, 40, 9, 1
2019/9/4, 19, 36, 8, 1
2019/9/5, 67, 34, 8, 1
2019/9/6, 24, 32, 9, 1
2019/9/7, 23, 37, 8, 1
2019/9/8, 21, 38, 7, 1
2019/9/9, 19, 38, 5, 1
2019/9/10, 19, 32, 7, 1
2019/9/11, 18, 36, 6, 1
2019/9/12, 20, 38, 7, 1
2019/9/13, 25, 36, 8, 1
2019/9/14, 22, 33, 8, 1
2019/9/15, 24, 35, 8, 1
2019/9/16, 22, 29, 7, 1
2019/9/17, 24, 40, 9, 1
2019/9/18, 19, 38, 8, 1
2019/9/19, 27, 36, 9, 1
2019/9/20, 19, 27, 4, 1
2019/9/21, 31, 43, 8, 2
2019/9/22, 15, 30, 4, 1
2019/9/23, 18, 34, 8, 1
2019/9/24, 62, 31, 16, 1
2019/9/25, 25, 27, 13, 1
2019/9/26, 30, 46, 9, 2
2019/9/27, 27, 36, 9, 1
2019/9/28, 27, 32, 13, 1
2019/9/29, 20, 32, 8, 1
2019/9/30, 20, 31, 10, 1
2019/10/1, 21, 31, 12, 2
2019/4/5, 176, 18, 14, 4
2019/4/6, 34, 17, 12, 5
2019/4/7, 42, 18, 10, 4
2019/4/8, 32, 16, 15, 5
2019/4/9, 43, 15, 13, 4
2019/4/10, 43, 15, 12, 4
2019/4/11, 31, 19, 12, 3
2019/4/12, 32, 17, 11, 3
2019/4/13, 23, 20, 12, 4
2019/4/14, 30, 18, 8, 4
2019/4/15, 30, 18, 9, 3
2019/4/16, 44, 18, 9, 3
2019/4/17, 17, 19, 6, 3
2019/4/18, 10, 17, 9, 3
2019/4/19, 10, 19, 7, 3
2019/4/20, 17, 17, 9, 3
2019/4/21, 16, 21, 7, 3
2019/4/22, 13, 17, 6, 3
2019/4/23, 14, 18, 7, 3
2019/4/24, 14, 22, 10, 3
2019/4/25, 24, 22, 12, 4
2019/4/26, 26, 24, 14, 4
2019/4/27, 33, 24, 11, 4
2019/4/28, 28, 22, 6, 3
2019/4/29, 22, 20, 10, 3
2019/4/30, 23, 20, 11, 3
2019/5/1, 33, 20, 11, 3
2019/5/2, 39, 17, 13, 3
2019/5/3, 35, 20, 8, 3
2019/5/4, 12, 17, 9, 3
2019/5/6, 24, 18, 9, 3
2019/5/7, 241, 22, 6, 2
2019/5/8, 218, 26, 7, 3
2019/5/9, 37, 27, 6, 2
2019/5/10, 27, 24, 9, 3
2019/5/11, 28, 24, 9, 3
2019/5/12, 21, 21, 8, 2
2019/5/13, 21, 23, 11, 3
2019/5/14, 21, 34, 13, 3
2019/5/15, 458, 21, 9, 3
2019/5/16, 895, 21, 9, 2
2019/5/17, 895, 21, 9, 2
2019/5/18, 895, 26, 12, 3
2019/5/19, 895, 58, 10, 2
2019/5/20, 895, 24, 8, 2
2019/5/21, 895, 23, 8, 2
2019/5/22, 895, 16, 9, 2
2019/5/23, 895, 12, 8, 2
2019/5/24, 895, 14, 10, 2
2019/5/25, 895, 22, 9, 2
2019/5/31, 35, 26, 9, 2
2019/6/1, 22, 18, 11, 2
2019/6/2, 30, 22, 8, 2
2019/6/3, 34, 24, 10, 2
2019/6/4, 48, 22, 6, 2
2019/6/5, 41, 24, 7, 2
2019/6/6, 28, 21, 5, 2
2019/6/7, 26, 24, 7, 2
2019/6/8, 26, 25, 6, 2
2019/6/9, 22, 28, 4, 2
2019/6/10, 20, 23, 8, 2
2019/6/11, 22, , , 
2019/6/13, 25, 30, 5, 2
2019/6/14, 19, 20, 5, 2
2019/6/15, 15, 32, 13, 2
2019/1/8, 39, 15, 19, 7
2019/1/9, 24, 16, 17, 6
2019/1/10, 20, 14, 19, 7
2019/1/11, 28, 16, 28, 13
2019/1/12, 47, 16, 30, 12
2019/1/13, 54, 18, 27, 12
2019/1/14, 55, 15, 30, 8
2019/1/15, 47, 16, 16, 7
2019/1/16, 20, 18, 18, 6
2019/1/17, 27, 16, 15, 5
2019/1/18, 18, 16, 17, 6
2019/1/19, 25, 16, 12, 5
2019/1/20, 30, , , 
2019/1/22, 77, 14, 24, 9
2019/1/23, 49, 17, 26, 11
2019/1/24, 46, 17, 25, 8
2019/1/25, 56, 15, 21, 9
2019/1/26, 43, 17, 23, 8
2019/1/27, 63, 19, 14, 7
2019/1/28, 52, 14, 24, 6
2019/1/29, 53, 18, 22, 6
2019/1/30, 63, 18, 22, 10
2019/1/31, 62, 15, 22, 8
2019/2/1, 41, 14, 18, 6
2019/2/2, 32, , , 
2019/3/2, 25, 15, 12, 5
2019/3/3, 35, 18, 9, 4
2019/3/4, 92, 16, 17, 6
2019/3/5, 41, 15, 12, 7
2019/3/6, 39, 14, 12, 8
2019/3/7, 38, 16, 7, 4
2019/3/8, 18, 16, 11, 5
2019/3/9, 35, 16, 10, 6
2019/3/10, 34, 18, 9, 6
2019/3/11, 35, 12, 12, 8
2019/3/12, 46, , , 
2018/10/2, 46, 15, 13, 2
2018/10/3, 59, 21, 12, 2
2018/10/4, 46, 23, 8, 2
2018/10/5, 32, 22, 7, 2
2018/10/6, 21, 19, 8, 2
2018/10/7, 23, 23, 12, 3
2018/10/8, 47, 24, 10, 2
2018/10/9, 53, 46, 10, 2
2018/10/10, 43, 9, 18, 3
2018/10/11, 55, 20, 10, 2
2018/10/12, 44, 18, 11, 2
2018/10/13, 44, 16, 13, 2
2018/10/14, 65, 20, 13, 3
2018/10/15, 87, 45, 11, 3
2018/10/16, 124, 18, 8, 3
2018/10/17, 131, 17, 11, 3
2018/10/18, 84, 18, 10, 3
2018/10/19, 64, 15, 10, 3
2018/10/20, 61, 16, 9, 3
2018/10/21, 57, 19, 8, 2
2018/10/22, 39, 18, 9, 4
2018/10/23, 33, 14, 9, 3
2018/10/24, 45, 19, 8, 3
2018/10/25, 40, 21, 7, 3
2018/10/26, 21, 17, 7, 2
2018/10/27, 12, 19, 9, 3
2018/10/28, 31, 17, 10, 5
2018/10/29, 46, 13, 12, 7
2018/10/30, 63, 13, 12, 7
2018/10/31, 56, 14, 11, 6
2018/11/1, 50, 14, 12, 7
2018/11/2, 53, 19, 10, 5
2018/11/3, 40, 17, 13, 6
2018/11/4, 45, 64, 12, 6
2018/11/5, 48, 13, 13, 7
2018/11/6, 48, 17, 13, 7
2018/11/7, 49, 14, 14, 11
2018/11/8, 58, 16, 14, 10
2018/11/9, 68, 17, 14, 11
2018/11/10, 52, 13, 16, 11
2018/11/11, 31, 15, 15, 8
2018/11/15, 22, 11, 12, 5
2018/11/16, 24, , 14, 5
2018/11/17, 37, , 17, 7
2018/11/18, 44, , 19, 12
2018/11/19, 58, , 23, 12
2018/11/20, 66, , 24, 13
2018/11/21, 62, , 22, 10
2018/11/22, 58, , 23, 13
2018/11/23, 60, , 17, 11
2018/11/24, 43, , 16, 11
2018/11/25, 46, , 13, 8
2018/11/26, 28, , 16, 10
2018/11/27, 51, , 17, 9
2018/11/28, 47, , 14, 8
2018/11/29, 46, , 13, 7
2018/11/30, 28, , 14, 6
2018/12/1, 24, , 13, 4
2018/12/2, 22, , 11, 4
2018/12/3, 15, , 10, 4
2018/12/4, 23, , 16, 9
2018/12/5, 44, , 19, 9
2018/12/6, 36, , 15, 7
2018/12/7, 40, 76, 20, 11
2018/12/8, 168, 9, 21, 7
2018/12/9, 34, 12, 22, 6
2018/12/10, 28, 12, 24, 7
2018/12/11, 37, 17, 21, 6
2018/12/12, 20, 14, 25, 4
2018/12/13, 26, 15, 20, 5
2018/12/14, 16, 13, 20, 6
2018/12/15, 27, 10, 30, 10
2018/12/16, 53, 10, 29, 7
2018/12/17, 53, 10, 28, 8
2018/12/18, 44, 11, 28, 8
2018/12/19, 45, 11, 29, 9
2018/12/20, 44, 14, 25, 7
2018/12/21, 25, 10, 20, 6
2018/12/22, 24, 12, 18, 5
2018/12/23, 23, 15, 18, 6
2018/12/24, 30, 12, 19, 6
2018/12/25, 25, 14, 15, 5
2018/12/26, 26, 17, 13, 5
2018/12/27, 17, 11, 14, 4
2018/12/28, 13, , , 
2018/7/2, 34, 24, 11, 2
2018/7/3, 34, 20, 11, 2
2018/7/4, 41, 21, 9, 2
2018/7/5, 33, 21, 9, 1
2018/7/6, 23, 23, 9, 
