date, pm25, no2, so2
2020/7/21, 17, 1, 
2020/7/22, 22, , 
2020/7/23, 33, 1, 
2020/7/24, 30, , 
2020/7/25, 19, , 
2020/7/26, 10, , 
2020/7/27, 10, , 
2020/7/28, 23, 1, 
2020/7/29, 25, , 
2020/7/30, 32, , 
2020/7/31, 40, 1, 
2020/8/1, 30, 1, 
2020/8/2, 28, , 2
2020/8/3, 29, , 1
2020/8/4, 27, , 
2020/8/5, 12, 1, 
2020/8/6, 21, , 2
2020/8/7, 33, , 
2020/8/8, 20, , 
2020/8/9, 9, , 
2020/8/10, 9, , 
2020/8/11, 14, , 
2020/8/12, 15, , 
2020/8/13, 25, 1, 
2020/8/14, 24, 1, 
2020/8/15, 18, 1, 
2020/8/16, 15, 1, 
2020/8/17, 19, 1, 2
2020/8/18, 29, 1, 1
2020/8/19, 37, 1, 
2020/8/20, 28, , 
2020/8/21, 40, , 
2020/8/22, 26, , 
2020/8/23, 27, , 
2020/8/24, 9, 1, 1
2020/8/25, 9, , 
2020/8/26, 16, 1, 
2020/8/27, 19, 1, 
2020/8/28, 13, , 
2020/8/29, 11, , 
2020/8/30, 18, , 
2020/8/31, 10, , 
2020/9/1, 14, , 
2020/9/2, 9, , 
2020/9/3, 14, , 
2020/9/4, 12, 1, 
2020/9/5, 18, 2, 2
2020/9/6, 16, , 
2020/9/7, 10, , 
2020/9/8, 10, 2, 
2020/9/9, 13, 1, 
2020/9/10, 19, 1, 
2020/9/11, 22, 2, 
2020/9/12, 20, , 
2020/9/13, 53, 1, 1
2020/9/14, 999, , 
2020/9/15, 999, 1, 
2020/9/16, 999, 1, 
2020/9/17, 582, 1, 
2020/9/18, 42, 1, 
2020/9/19, 32, 2, 1
2020/9/20, 65, 2, 
2020/9/21, 80, 1, 
2020/9/22, 15, , 
2020/9/23, 2, 1, 1
2020/9/24, 12, , 
2020/9/25, 609, 1, 
2020/9/26, 999, 2, 
2020/9/27, 955, , 
2020/9/28, 999, 1, 
2020/9/29, 999, , 
2020/9/30, 999, , 
2020/4/2, 15, 2, 1
2020/4/3, 17, 2, 2
2020/4/4, 22, 4, 2
2020/4/5, 11, 1, 1
2020/4/6, 20, 2, 1
2020/4/7, 25, 4, 1
2020/4/8, 32, 1, 1
2020/4/9, 10, 3, 1
2020/4/10, 23, 1, 1
2020/4/11, 19, , 1
2020/4/12, 10, 1, 1
2020/4/13, 15, 1, 1
2020/4/14, 23, 4, 1
2020/4/15, 27, 1, 1
2020/4/16, 18, 1, 1
2020/4/17, 18, 2, 1
2020/4/18, 17, , 1
2020/4/19, 11, 1, 1
2020/4/20, 15, 1, 2
2020/4/21, 9, , 1
2020/4/22, 20, , 1
2020/4/23, 18, 1, 1
2020/4/24, 15, 1, 1
2020/4/25, 13, 1, 1
2020/4/26, 17, , 1
2020/4/27, 13, 1, 1
2020/4/28, 15, 1, 1
2020/4/29, 15, 2, 1
2020/4/30, 13, , 1
2020/5/1, 15, , 1
2020/5/2, 14, 1, 1
2020/5/3, 13, , 1
2020/5/4, 17, , 1
2020/5/5, 17, 1, 1
2020/5/6, 27, 1, 3
2020/5/7, 29, , 2
2020/5/8, 23, 2, 1
2020/5/9, 20, , 1
2020/5/10, 16, 1, 1
2020/5/11, 11, 1, 1
2020/5/12, 11, 1, 2
2020/5/13, 12, 4, 1
2020/5/14, 28, 1, 1
2020/5/15, 28, 1, 1
2020/5/16, 15, 1, 1
2020/5/17, 40, 1, 1
2020/5/18, 19, 2, 2
2020/5/19, 17, 1, 2
2020/5/20, 19, 1, 2
2020/5/21, 14, , 2
2020/5/22, 9, , 2
2020/5/23, 8, , 2
2020/5/24, 11, 2, 2
2020/5/25, 13, 1, 2
2020/5/26, 15, 1, 2
2020/5/27, 18, , 1
2020/5/28, 10, 1, 2
2020/5/29, 14, 2, 1
2020/5/30, 16, 2, 2
2020/5/31, 22, 1, 3
2020/6/1, 23, , 2
2020/6/2, 21, 1, 2
2020/6/3, 12, 2, 2
2020/6/4, 20, , 1
2020/6/5, 11, , 2
2020/6/6, 16, , 2
2020/6/7, 17, , 2
2020/6/8, 9, , 2
2020/6/9, 7, 1, 1
2020/6/10, 4, 1, 2
2020/6/11, 14, 1, 2
2020/6/12, 21, 1, 2
2020/6/13, 10, 2, 3
2020/6/14, 15, 1, 2
2020/6/15, 18, 1, 2
2020/6/16, 4, 2, 2
2020/6/17, 12, , 2
2020/6/18, 15, , 1
2020/6/19, 9, 1, 1
2020/6/20, 11, 1, 1
2020/6/21, 8, , 
2020/6/22, 9, 2, 3
2020/6/23, 25, 3, 
2020/6/24, 31, 2, 
2020/6/25, 29, 1, 
2020/6/26, 12, 3, 
2020/6/27, 23, 4, 
2020/6/28, 30, 2, 
2020/6/29, 34, 2, 
2020/6/30, 38, 1, 
2020/7/1, 11, , 
2020/1/5, 28, 2, 1
2020/1/6, 1, 3, 
2020/1/7, 5, 2, 
2020/1/10, 3, 2, 
2020/1/11, 39, 8, 2
2020/1/15, 25, 5, 
2020/1/16, 44, 7, 
2020/1/17, 37, 8, 1
2020/1/18, 10, 2, 
2020/1/19, 18, 4, 
2020/1/20, 17, 8, 1
2020/1/26, 12, 6, 
2020/1/27, 2, 1, 
2020/1/30, 37, 3, 2
2020/1/31, 43, 4, 2
2020/2/4, 2, 5, 
2020/2/5, 20, 5, 1
2020/2/9, 33, 8, 
2020/2/10, 1, 2, 1
2020/2/11, 1, 1, 
2020/2/12, 4, 2, 
2020/2/13, 19, 3, 
2020/2/14, 16, 4, 6
2020/2/15, 21, 3, 
2020/2/16, 3, 3, 2
2020/2/17, 12, 3, 2
2020/2/18, 9, 4, 1
2020/2/19, 16, 4, 
2020/2/20, 25, 8, 1
2020/2/21, 34, 8, 1
2020/2/22, 22, 5, 1
2020/2/23, 29, 7, 1
2020/2/24, 7, 4, 1
2020/2/25, 24, 8, 1
2020/2/26, 32, 7, 4
2020/2/27, 40, 6, 4
2020/2/28, 15, 5, 1
2020/2/29, 8, 4, 1
2020/3/1, 6, 2, 1
2020/3/2, 14, 1, 1
2020/3/3, 12, 1, 1
2020/3/4, 6, 2, 1
2020/3/5, 2, 2, 1
2020/3/6, 19, 4, 2
2020/3/7, 16, 5, 1
2020/3/8, 6, , 
2020/3/9, 11, 1, 
2020/3/10, 35, 11, 1
2020/3/11, 38, 8, 1
2020/3/12, 4, 3, 1
2020/3/13, 3, 2, 
2020/3/14, 6, 1, 
2020/3/15, 3, , 
2020/3/16, 29, 2, 
2020/3/17, 29, 4, 1
2020/3/18, 25, 3, 1
2020/3/19, 29, 4, 1
2020/3/20, 27, 4, 
2020/3/21, 28, 4, 1
2020/3/22, 43, 4, 1
2020/3/23, 27, 4, 1
2020/3/24, 16, 2, 
2020/3/25, 23, 1, 1
2020/3/26, 20, 4, 1
2020/3/27, 27, 4, 1
2020/3/28, 11, 2, 1
2020/3/29, 19, 2, 1
2020/3/30, 11, , 
2020/3/31, 16, , 1
2020/4/1, 14, , 1
2019/10/2, 6, 1, 
2019/10/4, 5, 1, 
2019/10/5, 17, 1, 
2019/10/6, 10, 2, 
2019/10/7, 22, 5, 
2019/10/8, 27, , 
2019/10/9, 2, 1, 
2019/10/10, 5, 2, 
2019/10/11, 21, 4, 
2019/10/12, 28, 4, 
2019/10/13, 35, 6, 
2019/10/14, 46, 3, 
2019/10/15, 30, , 
2019/10/16, 4, , 
2019/10/17, 11, 2, 
2019/10/18, 32, 3, 
2019/10/19, 22, 3, 
2019/10/20, 15, 1, 
2019/10/21, 14, 2, 1
2019/10/22, 18, 1, 
2019/10/23, 17, 1, 
2019/10/24, 15, 2, 
2019/10/25, 10, 2, 
2019/10/26, 12, , 
2019/10/27, 11, , 
2019/10/28, 9, , 
2019/10/29, 11, 1, 
2019/10/30, 10, 5, 
2019/10/31, 18, 1, 
2019/11/1, 14, 1, 
2019/11/2, 12, 3, 
2019/11/3, 20, 1, 
2019/11/4, 20, 2, 
2019/11/5, 11, 1, 
2019/11/6, 13, 3, 
2019/11/7, 15, 6, 
2019/11/8, 40, 5, 
2019/11/9, 61, 1, 
2019/11/10, 14, 1, 
2019/11/11, 9, 4, 
2019/11/12, 20, 6, 
2019/11/13, 18, 6, 
2019/11/14, 35, 3, 
2019/11/15, 24, 2, 
2019/11/16, 37, 2, 
2019/11/17, 28, 1, 
2019/11/18, 19, , 
2019/11/19, 9, 4, 
2019/11/20, 11, 3, 
2019/11/21, 17, 2, 
2019/11/22, 24, 4, 
2019/11/23, 25, 1, 
2019/11/24, 9, 2, 
2019/11/25, 11, 1, 
2019/11/26, 10, 2, 
2019/11/27, 22, 3, 
2019/11/28, 9, 1, 
2019/11/29, 12, 1, 
2019/11/30, 13, 4, 
2019/12/1, 21, 2, 
2019/12/2, 18, 8, 
2019/12/3, 20, 2, 
2019/12/4, 11, 4, 
2019/12/5, 12, 2, 1
2019/12/6, 47, 4, 
2019/12/16, 39, 3, 
2019/12/20, 15, 8, 
2019/7/2, 20, , 
2019/7/3, 4, 1, 
2019/7/4, 9, 1, 
2019/7/5, 14, 1, 
2019/7/6, 24, 2, 
2019/7/7, 13, , 
2019/7/8, 14, , 
2019/7/9, 24, 1, 
2019/7/10, 14, 1, 
2019/7/11, 12, 1, 
2019/7/12, 29, 1, 
2019/7/13, 24, 2, 
2019/7/14, 25, 1, 
2019/7/15, 22, 1, 
2019/7/16, 38, 1, 1
2019/7/17, 27, 1, 
2019/7/18, 21, 1, 
2019/7/19, 12, , 
2019/7/20, 17, 1, 
2019/7/21, 18, 1, 
2019/7/22, 26, 1, 
2019/7/23, 23, 1, 
2019/7/24, 29, 1, 
2019/7/25, 32, , 
2019/7/26, 7, , 
2019/7/27, 12, 2, 
2019/7/28, 20, , 
2019/7/29, 18, 1, 
2019/7/30, 14, , 1
2019/7/31, 21, , 
2019/8/1, 33, , 
2019/8/2, 31, 1, 
2019/8/3, 41, , 
2019/8/4, 34, , 
2019/8/5, 21, , 
2019/8/6, 37, , 
2019/8/7, 18, 1, 
2019/8/8, 15, 1, 
2019/8/9, 22, 1, 
2019/8/10, 19, 1, 
2019/8/11, 12, 1, 
2019/8/12, 19, 1, 
2019/8/13, 15, 1, 
2019/8/14, 23, 1, 
2019/8/15, 23, 1, 
2019/8/16, 31, , 
2019/8/17, 12, , 
2019/8/18, 5, 1, 
2019/8/19, 13, 2, 
2019/8/20, 17, 2, 
2019/8/21, 19, , 1
2019/8/22, 19, 1, 1
2019/8/23, 25, 1, 1
2019/8/24, 14, , 
2019/8/25, 21, 1, 
2019/8/26, 15, , 
2019/8/27, 10, , 
2019/8/28, 16, , 
2019/8/29, 11, 1, 
2019/8/30, 16, 2, 
2019/8/31, 23, 1, 
2019/9/1, 42, 1, 
2019/9/2, 26, , 
2019/9/3, 32, 1, 
2019/9/4, 101, 2, 
2019/9/5, 260, 1, 
2019/9/6, 29, 2, 
2019/9/7, 291, , 
2019/9/8, 330, 1, 
2019/9/9, 609, , 
2019/9/10, 208, , 
2019/9/11, 815, , 
2019/9/12, 412, , 
2019/9/13, 34, , 
2019/9/14, 10, 2, 
2019/9/15, 16, 2, 
2019/9/16, 17, 2, 
2019/9/17, 16, 1, 
2019/9/18, 17, 2, 
2019/9/19, 15, 1, 
2019/9/20, 36, 1, 
2019/9/21, 14, 1, 
2019/9/22, 11, 2, 
2019/9/23, 18, 2, 
2019/9/24, 18, , 
2019/9/25, 12, 1, 
2019/9/26, 9, 1, 
2019/9/27, 14, 1, 
2019/9/28, 11, 1, 
2019/9/29, 1, , 
2019/4/2, 17, , 
2019/4/3, 10, 1, 
2019/4/4, 14, 1, 
2019/4/5, 20, 1, 2
2019/4/6, 17, , 
2019/4/7, 33, 1, 2
2019/4/8, 19, 1, 
2019/4/9, 10, 1, 
2019/4/10, 17, , 1
2019/4/11, 16, , 1
2019/4/12, 16, 1, 
2019/4/13, 13, 2, 
2019/4/14, 17, 2, 
2019/4/15, 13, , 
2019/4/16, 17, 2, 
2019/4/17, 21, 1, 
2019/4/18, 14, 1, 
2019/4/19, 11, 2, 
2019/4/20, 9, 1, 
2019/4/21, 15, 2, 
2019/4/22, 28, , 
2019/4/23, 17, 1, 
2019/4/24, 14, 2, 
2019/4/25, 18, , 
2019/4/26, 12, 3, 
2019/4/27, 19, 2, 
2019/4/28, 13, 1, 
2019/4/29, 17, 4, 
2019/4/30, 19, 2, 
2019/5/1, 13, 1, 
2019/5/2, 13, 1, 
2019/5/3, 47, 1, 
2019/5/4, 11, , 
2019/5/5, 11, 1, 
2019/5/6, 14, 2, 
2019/5/7, 14, 2, 
2019/5/8, 20, , 
2019/5/9, 16, , 
2019/5/10, 13, 1, 
2019/5/11, 13, 1, 
2019/5/12, 13, 1, 
2019/5/13, 28, 2, 
2019/5/14, 27, 2, 
2019/5/15, 17, 2, 
2019/5/16, 20, , 
2019/5/17, 30, 4, 3
2019/5/18, 34, 1, 
2019/5/19, 50, 1, 
2019/5/20, 15, 2, 2
2019/5/21, 22, 1, 
2019/5/22, 26, 4, 
2019/5/23, 59, 4, 
2019/5/24, 46, 2, 
2019/5/25, 49, , 
2019/5/26, 48, 1, 
2019/5/27, 43, 1, 
2019/5/28, 50, 3, 
2019/5/29, 49, 2, 
2019/5/30, 56, 1, 
2019/5/31, 76, 1, 
2019/6/1, 53, 3, 2
2019/6/2, 40, 1, 3
2019/6/3, 62, 3, 1
2019/6/4, 59, 1, 1
2019/6/5, 60, 2, 
2019/6/6, 22, 1, 
2019/6/7, 21, , 
2019/6/8, 17, , 
2019/6/9, 11, 2, 
2019/6/10, 36, 3, 
2019/6/11, 24, 2, 
2019/6/12, 33, 2, 
2019/6/13, 31, 3, 
2019/6/14, 24, 3, 
2019/6/15, 34, 1, 
2019/6/16, 35, 1, 2
2019/6/17, 25, 1, 
2019/6/18, 9, 2, 1
2019/6/19, 15, 1, 
2019/6/20, 25, , 
2019/6/21, 8, , 
2019/6/22, 9, 1, 
2019/6/23, 32, 1, 
2019/6/24, 24, , 
2019/6/25, 18, 1, 
2019/6/26, 9, 1, 
2019/6/27, 13, 2, 
2019/6/28, 20, 1, 
2019/6/29, 17, 1, 
2019/6/30, 8, , 
2019/7/1, 10, 1, 
2019/1/4, 2, 2, 
2019/1/9, 4, 8, 
2019/1/12, 41, 1, 1
2019/1/13, 28, 5, 2
2019/1/14, 54, 18, 
2019/1/15, 58, 11, 
2019/1/16, 10, 1, 
2019/1/17, 6, , 1
2019/1/18, 22, 4, 
2019/1/19, 42, 7, 3
2019/1/20, 5, 1, 
2019/1/21, 5, 3, 1
2019/1/23, 26, 9, 
2019/1/25, 7, 5, 
2019/1/27, 47, 3, 1
2019/1/28, 25, 3, 
2019/2/1, 9, 2, 2
2019/2/2, 24, , 
2019/2/5, 10, , 3
2019/2/6, 12, 4, 
2019/2/7, 30, 8, 
2019/2/11, 33, 7, 
2019/2/13, 48, 8, 
2019/2/15, 65, 12, 8
2019/2/18, 14, 1, 
2019/2/19, 20, 2, 
2019/2/21, 40, 3, 1
2019/2/23, 48, 2, 3
2019/2/24, 42, 1, 
2019/2/25, 5, 1, 
2019/2/27, 55, 4, 1
2019/2/28, 21, 1, 1
2019/3/1, 15, 1, 
2019/3/2, 14, 1, 
2019/3/3, 31, 1, 
2019/3/5, 18, , 
2019/3/7, 20, , 
2019/3/8, 12, 1, 2
2019/3/11, 34, 5, 2
2019/3/16, 12, 4, 
2019/3/17, 22, 3, 
2019/3/18, 44, 6, 
2019/3/19, 20, 3, 
2019/3/20, 28, 4, 
2019/3/21, 64, 9, 
2019/3/22, 38, 6, 
2019/3/23, 18, 3, 1
2019/3/24, 19, 4, 
2019/3/25, 18, , 
2019/3/26, 21, 2, 
2019/3/27, 36, 2, 
2019/3/28, 18, , 
2019/3/29, 15, 2, 
2019/3/30, 14, 1, 
2019/3/31, 15, , 
2019/4/1, 16, 1, 1
2018/10/2, 6, 3, 
2018/10/3, 6, 2, 
2018/10/4, 15, 3, 
2018/10/5, 11, 5, 
2018/10/6, 29, 2, 
2018/10/7, 19, 1, 
2018/10/8, 17, , 
2018/10/9, 2, 1, 
2018/10/10, 2, 5, 1
2018/10/11, 5, 4, 
2018/10/12, 16, 2, 
2018/10/13, 18, 1, 
2018/10/14, 5, 2, 
2018/10/15, 8, 1, 
2018/10/16, 8, 3, 
2018/10/17, 7, 4, 
2018/10/18, 17, 2, 
2018/10/19, 22, 2, 
2018/10/20, 14, 2, 
2018/10/21, 20, 2, 
2018/10/22, 16, 3, 
2018/10/23, 21, 3, 1
2018/10/24, 25, 4, 2
2018/10/25, 38, 7, 
2018/10/26, 58, 5, 
2018/10/27, 41, 4, 
2018/10/28, 18, 2, 
2018/10/29, 17, 1, 
2018/10/30, 16, 2, 
2018/10/31, 16, 6, 
2018/11/1, 24, 2, 
2018/11/2, 15, , 
2018/11/3, 10, 1, 
2018/11/4, 19, 1, 
2018/11/5, 13, , 
2018/11/6, 8, 1, 
2018/11/7, 8, 2, 
2018/11/8, 14, 1, 
2018/11/9, 14, 2, 
2018/11/10, 17, 3, 
2018/11/11, 34, 1, 
2018/11/12, 17, 5, 
2018/11/13, 27, 8, 
2018/11/14, 44, 11, 
2018/11/15, 49, 4, 
2018/11/16, 42, 2, 
2018/11/17, 15, 6, 
2018/11/18, 27, 5, 
2018/11/19, 46, 3, 
2018/11/20, 44, 7, 
2018/11/21, 57, 2, 
2018/11/22, 35, 8, 
2018/11/23, 41, 6, 
2018/11/24, 38, 1, 
2018/11/25, 9, 2, 
2018/11/26, 34, 1, 
2018/11/27, 24, 2, 
2018/11/28, 36, 2, 
2018/11/29, 45, 4, 1
2018/11/30, 40, 6, 3
2018/12/1, 35, 3, 1
2018/12/2, 17, 2, 
2018/12/3, 15, 3, 
2018/12/4, 29, 2, 
2018/12/5, 12, 1, 
2018/12/6, 26, 5, 
2018/12/7, 29, 12, 1
2018/12/8, 57, 18, 
2018/12/9, 61, 16, 1
2018/12/10, 64, 13, 1
2018/12/11, 72, 5, 1
2018/12/12, 25, 7, 
2018/12/13, 17, 5, 
2018/12/14, 11, 6, 2
2018/12/15, 15, 2, 
2018/12/16, 11, 4, 
2018/12/17, 18, 5, 
2018/12/18, 16, 14, 
2018/12/19, 55, 12, 
2018/12/20, 43, 8, 
2018/12/21, 28, 3, 2
2018/12/22, 10, , 
2018/12/23, 5, 4, 
2018/12/26, 22, 3, 
2018/12/28, 18, 2, 
2018/7/2, 4, 1, 1
2018/7/3, 4, 2, 1
2018/7/4, 8, 1, 1
2018/7/5, 5, 2, 1
2018/7/6, 13, 2, 2
2018/7/7, 18, 1, 1
2018/7/8, 16, 1, 1
2018/7/9, 4, 2, 1
2018/7/10, 14, 2, 2
2018/7/11, 25, 1, 1
2018/7/12, 21, 1, 1
2018/7/13, 17, 3, 1
2018/7/14, 20, , 1
2018/7/15, 6, , 1
2018/7/16, 1, 1, 1
2018/7/17, 5, 1, 2
2018/7/18, 18, 2, 1
2018/7/19, 19, 2, 1
2018/7/20, 62, 1, 1
2018/7/21, 62, 1, 2
2018/7/22, 62, 1, 1
2018/7/23, 62, , 1
2018/7/24, 62, 2, 1
2018/7/25, 47, 1, 1
2018/7/26, 14, 3, 1
2018/7/27, 27, 2, 2
2018/7/28, 34, 2, 2
2018/7/29, 31, 3, 2
2018/7/30, 45, 2, 2
2018/7/31, 52, 1, 2
2018/8/1, 14, 1, 2
2018/8/2, 19, 2, 2
2018/8/3, 40, 2, 2
2018/8/4, 41, 1, 2
2018/8/5, 64, 1, 2
2018/8/6, 39, 2, 2
2018/8/7, 46, 1, 2
2018/8/8, 54, 2, 2
2018/8/9, 93, 4, 2
2018/8/10, 102, 3, 2
2018/8/11, 111, 2, 2
2018/8/12, 119, , 2
2018/8/13, 15, 1, 2
2018/8/14, 9, 2, 2
2018/8/15, 62, 3, 2
2018/8/16, 171, 2, 2
2018/8/17, 167, 2, 2
2018/8/18, 88, 2, 2
2018/8/19, 170, 2, 2
2018/8/20, 66, 2, 2
2018/8/21, 62, 2, 2
2018/8/22, 68, 3, 2
2018/8/23, 101, 2, 2
2018/8/24, 114, , 2
2018/8/25, 8, , 2
2018/8/26, 31, 1, 2
2018/8/27, 58, , 2
2018/8/28, 20, 2, 2
2018/8/29, 21, 2, 2
2018/8/30, 39, 1, 2
2018/8/31, 35, , 2
2018/9/1, 13, 2, 2
2018/9/2, 60, 1, 2
2018/9/3, 20, 2, 2
2018/9/4, 39, 1, 2
2018/9/5, 8, 4, 2
2018/9/6, 21, 1, 2
2018/9/7, 16, , 2
2018/9/8, 22, 1, 2
2018/9/9, 30, , 2
2018/9/10, 16, , 2
2018/9/11, 9, 1, 2
2018/9/12, 9, 1, 2
2018/9/13, 13, , 2
2018/9/14, 7, , 2
2018/9/15, 11, , 1
2018/9/16, 8, , 2
2018/9/17, 6, , 2
2018/9/18, 10, 2, 2
2018/9/19, 19, 2, 2
2018/9/20, 11, 2, 2
2018/9/21, 18, , 2
2018/9/22, 9, , 2
2018/9/23, 8, , 2
2018/9/24, 10, 2, 2
2018/9/25, 15, 2, 2
2018/9/26, 10, 1, 2
2018/9/27, 14, 1, 2
2018/9/28, 10, 3, 1
2018/9/29, 10, 2, 
2018/9/30, 4, 2, 
2018/10/1, 3, 2, 
2018/6/3, 8, 2, 1
2018/6/4, 10, 2, 1
2018/6/5, 32, 2, 1
2018/6/6, 16, 3, 1
2018/6/7, 14, 3, 1
2018/6/8, 18, 2, 2
2018/6/9, 21, 1, 2
2018/6/10, 31, 1, 1
2018/6/11, 18, , 1
2018/6/12, 6, , 1
2018/6/13, 6, 1, 1
2018/6/14, 6, 3, 1
2018/6/15, 22, 2, 1
2018/6/16, 12, 3, 1
2018/6/17, 27, 3, 1
2018/6/18, 28, 5, 1
2018/6/19, 27, 4, 1
2018/6/20, 21, 4, 1
2018/6/21, 30, 5, 2
2018/6/22, 37, 6, 1
2018/6/23, 40, 4, 1
2018/6/24, 36, 2, 1
2018/6/25, 40, 3, 1
2018/6/26, 30, 1, 1
2018/6/27, 9, 1, 1
2018/6/28, 4, 1, 1
2018/6/29, 6, 2, 1
2018/6/30, 12, 2, 1
2018/7/1, 20, 1, 1
2017/10/2, 10, , 
2017/10/3, 4, 1, 
2017/10/4, 5, 3, 
2017/10/5, 20, 4, 
2017/10/6, 17, 4, 
2017/10/7, 35, 1, 
2017/10/8, 16, , 
2017/10/9, 6, 2, 
2017/10/10, 23, 4, 
2017/10/11, 22, 1, 
2017/10/12, 25, 1, 
2017/10/13, 12, 1, 
2017/10/14, 12, 4, 
2017/10/15, 16, 2, 
2017/10/16, 12, 3, 
2017/10/17, 11, 3, 
2017/10/18, 35, 1, 
2017/10/19, 18, 3, 1
2017/10/20, 18, 4, 
2017/10/21, 28, 2, 
2017/10/22, 15, 5, 
2017/10/23, 14, 1, 
2017/10/24, 10, 2, 
2017/10/25, 17, , 
2017/10/26, 12, 1, 
2017/10/27, 11, 3, 
2017/10/28, 15, 2, 
2017/10/29, 14, , 
2017/10/30, 10, 2, 
2017/10/31, 12, 2, 
2017/11/1, 22, 1, 
2017/11/2, 26, 1, 
2017/11/3, 20, , 
2017/11/4, 10, 1, 
2017/11/5, 30, 4, 
2017/11/6, 49, 4, 
2017/11/7, 16, 3, 
2017/11/8, 24, 4, 
2017/11/9, 24, 6, 
2017/11/10, 67, 3, 
2017/11/11, 39, 4, 
2017/11/12, 76, 2, 
2017/11/13, 59, 2, 
2017/11/14, 47, , 
2017/11/15, 18, 1, 
2017/11/16, 13, 2, 
2017/11/17, 20, 4, 
2017/11/18, 33, 8, 
2017/11/19, 40, 7, 
2017/11/20, 62, 3, 
2017/11/21, 28, 3, 
2017/11/22, 9, , 
2017/7/2, 17, 1, 
2017/7/3, 19, 1, 
2017/7/4, 22, 1, 
2017/7/5, 15, 2, 
2017/7/6, 21, 2, 
2017/7/8, 48, 2, 
2017/7/9, 29, 2, 
2017/7/10, 43, 1, 
2017/7/11, 25, , 
2017/7/12, 19, 1, 
2017/7/13, 18, 1, 
2017/7/14, 27, 1, 
2017/7/15, 37, 2, 
2017/7/16, 35, 1, 
2017/7/17, 64, , 
2017/7/18, 46, 1, 
2017/7/19, 7, 2, 
2017/7/20, 59, 3, 
2017/7/21, 72, 1, 
2017/7/22, 55, 2, 
2017/7/23, 45, 2, 
2017/7/24, 49, , 
2017/7/25, 43, , 
2017/7/26, 44, 2, 
2017/7/27, 19, 1, 
2017/7/28, 32, 1, 
2017/7/29, 34, 2, 
2017/7/30, 31, 2, 
2017/7/31, 40, 1, 
2017/8/1, 39, 2, 
2017/8/2, 16, 1, 
2017/8/3, 28, 3, 
2017/8/4, 41, 2, 
2017/8/5, 34, 2, 
2017/8/6, 27, 2, 
2017/8/7, 49, 2, 
2017/8/8, 29, 1, 
2017/8/9, 21, 2, 
2017/8/10, 21, 2, 
2017/8/11, 28, 1, 
2017/8/12, 23, 2, 
2017/8/13, 27, 1, 
2017/8/14, 24, 1, 
2017/8/15, 52, 1, 
2017/8/16, 27, 1, 
2017/8/17, 22, 1, 
2017/8/18, 58, 1, 
2017/8/19, 64, , 
2017/8/20, 24, , 
2017/8/21, 3, 1, 
2017/8/23, 27, 1, 
2017/8/24, 27, , 
2017/8/25, 44, 1, 
2017/8/26, 16, 3, 
2017/8/27, 29, 3, 
2017/8/28, 38, 2, 
2017/8/29, 58, 3, 
2017/8/30, 25, 1, 
2017/8/31, 67, 2, 
2017/9/1, 68, 1, 
2017/9/2, 30, 1, 
2017/9/3, 44, 1, 
2017/9/4, 13, 1, 
2017/9/5, 13, 3, 
2017/9/6, 23, , 
2017/9/11, 4, 2, 
2017/9/12, 16, 2, 
2017/9/13, 17, 2, 
2017/9/14, 22, 1, 
2017/9/15, 4, 2, 
2017/9/16, 11, 2, 
2017/9/17, 22, 2, 
2017/9/18, 34, 1, 
2017/9/19, 28, 2, 
2017/9/20, 29, 1, 
2017/9/21, 5, 1, 
2017/9/22, 9, , 
2017/9/23, 9, 2, 
2017/9/24, 10, 2, 
2017/9/25, 15, 2, 
2017/9/26, 11, 3, 
2017/9/27, 24, 4, 
2017/9/28, 21, 2, 1
2017/9/29, 23, 1, 
2017/9/30, 27, 2, 1
2017/10/1, 28, , 
2017/4/2, 15, 1, 
2017/4/3, 10, 2, 
2017/4/4, 12, 3, 
2017/4/5, 13, , 1
2017/4/6, 10, 1, 1
2017/4/7, 11, 2, 
2017/4/8, 18, 1, 
2017/4/9, 15, , 
2017/4/10, 11, , 
2017/4/11, 9, 2, 
2017/4/12, 13, 1, 
2017/4/13, 12, , 
2017/4/14, 11, , 
2017/4/15, 11, 1, 
2017/4/16, 9, 1, 
2017/4/20, 20, 2, 
2017/4/21, 20, , 
2017/4/22, 14, , 
2017/4/23, 11, 1, 
2017/4/24, 13, , 
2017/4/25, 13, , 
2017/4/26, 9, 1, 
2017/4/27, 11, 1, 
2017/4/28, 9, , 
2017/4/29, 12, 2, 
2017/4/30, 16, 1, 
2017/5/1, 16, 1, 
2017/5/2, 13, 2, 
2017/5/3, 15, 2, 1
2017/5/4, 11, 3, 
2017/5/5, 14, 2, 1
2017/5/6, 19, 1, 1
2017/5/7, 35, 1, 1
2017/5/8, 22, 1, 
2017/5/9, 8, 3, 
2017/5/10, 16, 2, 1
2017/5/11, 15, 1, 1
2017/5/12, 17, , 1
2017/5/13, 20, , 1
2017/5/14, 18, , 1
2017/5/15, 10, , 1
2017/5/16, 10, , 1
2017/5/17, 11, , 
2017/5/18, 11, 2, 1
2017/5/19, 19, 1, 1
2017/5/20, 20, 2, 1
2017/5/21, 30, 1, 
2017/5/22, 31, 3, 1
2017/5/23, 33, 1, 1
2017/5/24, 21, 1, 1
2017/5/25, 23, , 1
2017/5/26, 13, 1, 1
2017/5/27, 10, 3, 1
2017/5/28, 20, , 1
2017/5/29, 14, 2, 
