date, pm25, pm10, o3, no2, so2
2020/9/1, 31, 19, 35, 2, 4
2020/9/2, 28, 14, 16, 2, 3
2020/9/3, 22, 9, 15, 2, 3
2020/9/4, 21, 14, 40, 3, 4
2020/9/5, 27, 8, 20, 1, 3
2020/9/6, 18, 15, 12, 1, 2
2020/9/7, 22, , , , 
2020/9/13, 13, 8, 25, 1, 4
2020/9/14, 18, 11, 42, 2, 6
2020/9/15, 26, 17, 52, 4, 5
2020/9/16, 36, 15, 32, 6, 3
2020/9/17, 30, 11, 19, 3, 4
2020/9/18, 30, 8, 38, 1, 3
2020/9/19, 23, 15, 30, , 4
2020/9/20, 39, 11, 39, , 4
2020/9/21, 21, 11, 45, 1, 5
2020/9/22, 34, 11, 27, 2, 
2020/9/23, 37, , 41, 7, 6
2020/9/24, 41, 5, 15, 5, 4
2020/9/25, 30, 6, 23, 3, 3
2020/9/26, 19, 7, 29, 1, 
2020/9/27, 19, 8, 29, 2, 4
2020/9/28, 19, 12, 38, 4, 6
2020/9/29, 27, 13, 36, 5, 5
2020/9/30, 36, 8, 33, 3, 4
2020/4/1, 21, 4, 40, 1, 4
2020/4/2, 21, 8, 41, 6, 5
2020/4/3, 29, 15, 53, 5, 7
2020/4/4, 42, 7, 37, 1, 4
2020/4/5, 21, 6, 40, 1, 4
2020/4/6, 31, 9, 29, 6, 4
2020/4/7, 32, 14, 65, 5, 7
2020/4/8, 41, 9, 45, 3, 6
2020/4/9, 31, 7, 37, 2, 4
2020/4/10, 25, 3, 40, 1, 5
2020/4/11, 21, 6, 39, 1, 4
2020/4/12, 30, 3, 33, 2, 2
2020/4/13, 16, 3, 37, 1, 3
2020/4/14, 18, 9, 48, 5, 5
2020/4/15, 34, 14, 53, 7, 5
2020/4/16, 52, 14, 40, 5, 6
2020/4/17, 33, 7, 45, 2, 4
2020/4/18, 35, 3, 38, 1, 
2020/4/19, 19, 4, 33, 5, 
2020/4/20, 12, 8, 40, 4, 4
2020/4/21, 41, 7, 36, 3, 4
2020/4/22, 27, 4, 32, 2, 
2020/4/23, 18, 6, 38, 3, 3
2020/4/24, 22, 7, 48, 2, 4
2020/4/25, 23, 11, 62, 3, 5
2020/4/26, 36, 12, 43, 2, 4
2020/4/27, 35, 7, 41, 2, 
2020/4/28, 21, 7, 56, 3, 7
2020/4/29, 24, 15, 70, 5, 7
2020/4/30, 50, 20, 55, 4, 6
2020/5/1, 58, 26, 67, 4, 7
2020/5/2, 75, 21, 38, 3, 5
2020/5/3, 59, 6, 34, 1, 4
2020/5/4, 26, 7, 37, 2, 5
2020/5/5, 24, 7, 20, 3, 4
2020/5/6, 28, 4, 40, 1, 4
2020/5/7, 26, 6, 47, 3, 5
2020/5/8, 29, 10, 35, 3, 5
2020/5/9, 27, 6, 21, 1, 2
2020/5/10, 23, 5, 43, 2, 4
2020/5/11, 22, 13, 54, 6, 6
2020/5/12, 41, 14, 46, 3, 5
2020/5/13, 43, 9, 50, 3, 7
2020/5/14, 21, 13, 54, 6, 6
2020/5/15, 36, 7, 32, 1, 4
2020/5/16, 24, 6, 37, 1, 3
2020/5/17, 18, 11, 40, 5, 4
2020/5/18, 30, 9, 40, 2, 3
2020/5/19, 31, 11, 42, 2, 4
2020/5/20, 32, 4, 31, 2, 
2020/5/21, 20, 8, 54, 4, 5
2020/5/22, 33, 12, 51, 3, 4
2020/5/23, 39, 4, 43, 2, 4
2020/5/24, 31, 11, 45, 3, 4
2020/5/25, 31, 12, 35, 2, 3
2020/5/26, 40, 10, 50, 1, 3
2020/5/27, 45, 8, 45, 2, 5
2020/5/28, 33, 8, 44, 3, 5
2020/5/29, 28, 12, 67, 2, 6
2020/5/30, 37, , , , 
2020/6/1, 31, 18, 55, 3, 4
2020/6/2, 39, 16, 65, 4, 5
2020/6/3, 49, 20, 74, 5, 7
2020/6/4, 61, 25, 74, 4, 6
2020/6/5, 66, 25, 50, 4, 4
2020/6/6, 65, 10, 39, 2, 4
2020/6/7, 38, 18, 59, 3, 5
2020/6/8, 49, 19, 55, 3, 4
2020/6/9, 46, 11, 36, 2, 4
2020/6/10, 34, 13, 8, 5, 3
2020/6/11, 24, 6, 27, 4, 1
2020/6/12, 22, 9, 20, 2, 1
2020/6/13, 25, 11, 16, 4, 1
2020/6/14, 27, 12, 44, 2, 2
2020/6/15, 42, 16, 55, 2, 6
2020/6/16, 48, 12, 66, 4, 8
2020/6/17, 41, 13, 32, 6, 5
2020/6/18, 48, 5, 30, 4, 4
2020/6/19, 24, 9, 31, 1, 4
2020/6/20, 32, 14, 46, 2, 4
