date, pm25, pm10, no2, so2, co
2019/4/9, 44, 12, 6, , 1
2019/4/10, 41, 10, 7, , 1
2019/4/11, 30, 11, 5, , 2
2019/4/12, 36, 14, 8, , 1
2019/4/13, 43, 14, 8, , 1
2019/4/14, 43, 10, 3, , 1
2019/4/15, 33, 17, 3, , 1
2019/4/16, 43, 18, 7, , 1
2019/4/17, 53, 18, 11, , 1
2019/4/18, 56, 13, 4, , 1
2019/4/19, 44, 12, 3, , 
2019/4/20, 35, 12, 5, , 1
2019/4/21, 42, 16, 4, , 1
2019/4/22, 44, 27, 8, , 1
2019/4/23, 66, 30, 11, , 1
2019/4/24, 76, 16, 8, , 
2019/4/25, 49, 12, 4, , 1
2019/4/26, 29, 7, 3, , 1
2019/4/27, 24, 9, 4, , 
2019/4/28, 33, 9, 6, , 
2019/4/29, 31, 10, 9, , 1
2019/4/30, 39, 13, 7, , 1
2019/5/1, 43, 8, 2, , 
2019/5/2, 32, 9, 3, , 
2019/5/3, 37, 11, 5, , 1
2019/5/4, 36, 12, 5, , 1
2019/5/5, 44, 15, 6, , 1
2019/5/6, 53, 9, 2, , 
2019/5/7, 45, 17, 2, , 1
2019/5/8, 54, 21, 3, , 1
2019/5/9, 62, 20, 3, , 1
2019/5/10, 66, 9, 5, , 1
2019/5/11, 37, 8, 4, , 1
2019/5/12, 29, 9, 6, , 1
2019/5/13, 44, 13, 5, , 1
2019/5/14, 44, 15, 6, , 1
2019/5/15, 56, 14, 5, , 1
2019/5/16, 53, 10, 5, , 1
2019/5/17, 42, 14, 6, , 1
2019/5/18, 49, 19, 8, , 
2019/5/19, 65, 15, 6, , 
2019/5/20, 50, 13, 6, , 1
2019/5/21, 41, 12, 4, , 1
2019/5/22, 45, 17, 4, , 1
2019/5/23, 55, 21, 4, , 1
2019/5/24, 64, 18, 4, , 1
2019/5/25, 62, 31, 5, , 1
2019/5/26, 82, 29, 8, , 1
2019/5/27, 86, 18, 4, , 1
2019/5/28, 53, 8, 3, , 
2019/5/29, 33, 12, 2, , 
2019/5/30, 42, 12, 7, , 1
2019/5/31, 50, 11, 4, , 
2019/6/1, 53, 14, 3, , 
2019/6/2, 52, 12, 7, , 
2019/6/3, 55, 18, 5, , 
2019/6/4, 63, 25, 7, , 
2019/6/5, 75, 16, 4, , 
2019/6/6, 53, 15, 3, , 1
2019/6/7, 60, 12, 2, , 
2019/6/8, 37, 11, 3, , 
2019/6/9, 49, 13, 4, , 
2019/6/10, 52, 10, 2, , 
2019/6/11, 37, 10, 2, , 
2019/6/12, 40, 11, 2, , 
2019/6/13, 49, 13, 5, , 
2019/6/14, 51, 14, 5, , 
2019/6/15, 47, 5, 2, , 
2019/6/16, 20, 9, 2, , 1
2019/6/17, 39, 8, 3, , 
2019/6/18, 39, 11, 5, , 
2019/6/19, 45, 13, 5, , 1
2019/6/20, 50, 15, 3, , 
2019/6/21, 46, 12, 5, , 1
2019/6/22, 48, 7, 2, , 
2019/6/23, 26, 7, 2, , 
2019/6/24, 34, 10, 6, , 1
2019/6/25, 42, 8, 3, , 
2019/6/26, 31, 13, 4, , 1
2019/6/27, 45, 8, 3, , 1
2019/6/28, 34, 11, 4, , 
2019/6/29, 48, 5, 3, , 
2019/6/30, 28, 9, 7, , 7
2019/1/1, 31, 10, 5, , 
2019/1/2, 23, 9, 9, , 
2019/1/3, 30, 12, 11, , 3
2019/1/4, 32, 17, 13, , 2
2019/1/5, 49, 14, 7, , 1
2019/1/6, 45, 9, 6, , 2
2019/1/7, 22, 8, 6, , 10
2019/1/8, 20, 10, 6, , 1
2019/1/9, 27, 9, 6, , 2
2019/1/10, 23, 9, 6, , 1
2019/1/11, 27, 11, 12, , 1
2019/1/12, 26, 11, 17, , 1
2019/1/13, 35, 10, 15, , 2
2019/1/14, 31, 14, 26, , 3
2019/1/15, 48, 14, 4, , 2
2019/1/16, 47, 9, 3, , 
2019/1/17, 25, 6, 4, , 8
2019/1/18, 24, 11, 5, , 1
2019/1/19, 25, 17, 9, , 2
2019/1/20, 47, 10, 3, , 1
2019/1/21, 27, 8, 6, , 3
2019/1/22, 24, 13, 11, , 4
2019/1/23, 34, 11, 4, , 1
2019/1/24, 28, 7, 10, , 2
2019/1/25, 29, , 22, , 2
2019/1/26, 25, , 15, , 1
2019/1/27, 23, 20, 15, , 2
2019/1/28, 40, 10, 8, , 1
2019/1/29, 32, 14, 8, , 2
2019/1/30, 46, 15, 4, , 
2019/1/31, 37, 7, 4, , 2
2019/2/1, 24, 11, 4, , 1
2019/2/2, 39, 18, 20, , 3
2019/2/3, 52, 21, 15, , 2
2019/2/4, 54, 16, 4, , 2
2019/2/5, 45, 30, 28, , 5
2019/2/6, 76, 11, 15, , 3
2019/2/7, 38, 10, 4, , 1
2019/2/8, 31, 9, 7, , 1
2019/2/9, 24, 10, 6, , 1
2019/2/10, 29, 12, 9, , 1
2019/2/11, 36, 12, 7, , 2
2019/2/12, 39, 11, 9, , 2
2019/2/13, 37, 10, 11, , 1
2019/2/14, 32, 15, 13, , 2
2019/2/15, 35, 17, 18, , 2
2019/2/16, 48, 18, 3, , 1
2019/2/17, 50, 16, 8, , 2
2019/2/18, 43, 20, 39, , 3
2019/2/19, 53, 11, 21, , 3
2019/2/20, 39, 15, 10, , 2
2019/2/21, 46, 42, 10, , 2
2019/2/22, 110, 19, 12, , 1
2019/2/23, 52, 9, 6, , 1
2019/2/24, 30, 19, 6, , 1
2019/2/25, 52, 23, 9, , 1
2019/2/26, 72, 46, 8, 2, 1
2019/2/27, 123, 37, 16, 2, 2
2019/2/28, 99, 30, 17, 1, 2
2019/3/1, 80, 54, 9, 2, 2
2019/3/2, 147, 35, 13, 2, 2
2019/3/3, 99, 26, 16, 2, 2
2019/3/4, 70, 24, 12, , 2
2019/3/5, 74, 20, 22, , 2
2019/3/6, 60, 15, 7, , 1
2019/3/7, 50, 11, 7, , 1
2019/3/8, 36, 13, 3, , 2
2019/3/9, 40, 24, 6, , 1
2019/3/10, 63, 13, 8, , 1
2019/3/11, 35, 11, 5, , 1
2019/3/12, 33, 17, 13, , 2
2019/3/13, 49, 8, 5, , 1
2019/3/14, 26, 12, 10, , 1
2019/3/15, 34, 13, 7, , 1
2019/3/16, 30, 12, 5, , 1
2019/3/17, 47, 11, 5, , 
2019/3/18, 42, 22, 14, , 1
2019/3/19, 64, 23, 14, , 2
2019/3/20, 66, 22, 12, , 2
2019/3/21, 60, 11, 4, , 1
2019/3/22, 24, 10, 5, , 1
2019/3/23, 29, 13, 4, , 1
2019/3/24, 33, 13, 6, , 1
2019/3/25, 45, 26, 7, , 1
2019/3/26, 70, 17, 5, , 2
2019/3/27, 48, 14, 5, , 1
2019/3/28, 37, 14, 5, , 1
2019/3/29, 41, 10, 7, , 
2019/3/30, 36, 10, 3, , 1
2019/3/31, 22, 13, 7, , 1
2018/10/1, 33, 9, 2, , 1
2018/10/2, 33, 9, 4, , 1
2018/10/3, 29, 11, 7, , 1
2018/10/4, 36, 12, 7, , 1
2018/10/5, 41, 9, 4, , 1
2018/10/6, 30, 8, 2, , 1
2018/10/7, 30, 9, 2, , 1
2018/10/8, 34, 9, 4, , 1
2018/10/9, 33, 11, 7, , 1
2018/10/10, 36, 11, 8, , 2
2018/10/11, 40, 8, 3, , 1
2018/10/12, 27, 7, 4, , 
2018/10/13, 28, 8, 4, , 
2018/10/14, 26, 9, 5, , 2
2018/10/15, 36, 9, 5, , 1
2018/10/16, 28, 7, 5, , 1
2018/10/17, 27, 7, 4, , 1
2018/10/18, 25, 9, 6, , 1
2018/10/19, 29, 14, 5, , 2
2018/10/20, 51, 16, 5, , 
2018/10/21, 47, 14, 7, , 1
2018/10/22, 39, 17, 11, , 1
2018/10/23, 46, 14, 9, , 1
2018/10/24, 45, 14, 5, , 2
2018/10/25, 44, 16, 8, , 2
2018/10/26, 49, 11, 7, , 1
2018/10/27, 36, 7, 4, , 
2018/10/28, 20, 8, 5, , 1
2018/10/29, 26, 9, 4, , 1
2018/10/30, 26, 6, 3, , 1
2018/10/31, 27, 7, 4, , 1
2018/11/1, 17, 8, 7, , 1
2018/11/2, 29, 9, 4, , 2
2018/11/3, 28, 9, 5, , 1
2018/11/4, 33, 9, 7, , 2
2018/11/5, 30, 11, 9, , 2
2018/11/6, 41, 10, 6, , 1
2018/11/7, 41, 13, 10, , 2
2018/11/8, 38, 7, 8, , 1
2018/11/9, 26, 9, 4, , 2
2018/11/10, 32, 10, 2, , 1
2018/11/11, 45, 11, 4, , 2
2018/11/12, 34, 9, 4, , 1
2018/11/13, 32, 9, 5, , 1
2018/11/14, 20, 6, 4, , 1
2018/11/15, 15, 8, 4, , 1
2018/11/16, 21, 6, 3, , 1
2018/11/17, 25, 7, 6, , 1
2018/11/18, 23, 6, 9, , 1
2018/11/19, 21, 12, 6, , 2
2018/11/20, 32, 12, 6, , 2
2018/11/21, 38, 11, 8, , 1
2018/11/22, 35, 7, 4, , 1
2018/11/23, 19, 7, 9, , 1
2018/11/24, 20, 12, 11, , 2
2018/11/25, 34, 15, 9, , 2
2018/11/26, 47, 14, 8, , 3
2018/11/27, 50, 24, 3, , 2
2018/11/28, 56, 10, 5, , 1
2018/11/29, 24, 9, 3, , 1
2018/11/30, 30, 9, 8, , 1
2018/12/1, 33, 11, 7, , 2
2018/12/2, 27, 10, 16, , 3
2018/12/3, 29, 10, 10, , 2
2018/12/4, 28, 10, 3, , 1
2018/12/5, 29, 9, 8, , 2
2018/12/6, 19, 8, 7, , 3
2018/12/7, 19, 8, 4, , 1
2018/12/8, 18, 6, 5, , 1
2018/12/9, 20, 7, 6, , 2
2018/12/10, 25, 10, 13, , 3
2018/12/11, 23, 7, 21, , 2
2018/12/12, 24, 8, 11, , 3
2018/12/13, 24, 9, 9, , 2
2018/12/14, 26, 8, 9, , 2
2018/12/15, 22, 8, 10, , 1
2018/12/16, 23, 17, 12, , 6
2018/12/17, 52, 11, 5, , 2
2018/12/18, 36, 12, 5, , 2
2018/12/19, 26, 11, 4, , 1
2018/12/20, 26, 9, 6, , 2
2018/12/21, 28, 12, 20, , 3
2018/12/22, 44, 16, 11, , 3
2018/12/23, 44, 8, 3, , 1
2018/12/24, 23, 7, 9, , 1
2018/12/25, 25, 13, 6, , 2
2018/12/26, 37, 9, 4, , 1
2018/12/27, 26, 6, 4, 1, 1
2018/12/28, 20, 6, 4, , 1
2018/12/29, 17, 6, 7, , 1
2018/12/30, 20, , , , 
2018/7/1, 44, 19, 7, , 1
2018/7/2, 49, 10, 3, , 1
2018/7/3, 36, 12, 7, , 1
2018/7/4, 38, 6, 3, , 
2018/7/5, 20, 4, 2, , 2
2018/7/6, 17, 5, 2, , 
2018/7/7, 17, 7, 2, , 
2018/7/8, 25, 9, 3, , 1
2018/7/9, 35, 16, 13, , 1
2018/7/10, 50, 8, 4, , 
2018/7/11, 27, 10, 7, , 1
2018/7/12, 31, 15, 5, , 1
2018/7/13, 40, 19, 4, , 
2018/7/14, 59, 17, 3, , 
2018/7/15, 53, 16, 2, , 
2018/7/16, 52, 14, 5, , 1
2018/7/17, 48, 15, 8, , 1
2018/7/18, 48, 15, 5, , 1
2018/7/19, 51, 29, 4, , 1
2018/7/20, 74, 33, 2, , 
2018/7/21, 89, 27, 2, , 
2018/7/22, 72, 14, 4, , 1
2018/7/23, 46, 16, 4, , 
2018/7/24, 49, 14, 4, , 1
2018/7/25, 51, 16, 3, , 1
2018/7/26, 52, 16, 3, , 1
2018/7/27, 53, 14, 4, , 2
2018/7/28, 40, 12, 3, , 
2018/7/29, 28, 12, 4, , 
2018/7/30, 37, 18, 5, , 1
2018/7/31, 48, 12, 1, , 1
2018/8/1, 38, 14, 2, , 1
2018/8/2, 44, 13, 2, , 1
2018/8/3, 39, 12, 4, , 1
2018/8/4, 46, 7, 3, , 1
2018/8/5, 26, 7, 2, , 1
2018/8/6, 22, 8, 2, , 1
2018/8/7, 30, 4, 1, , 1
2018/8/8, 18, 6, 2, , 1
2018/8/9, 19, 9, 4, , 1
2018/8/10, 27, 9, 2, , 1
2018/8/11, 31, 9, 2, , 1
2018/8/12, 23, 12, 2, , 1
2018/8/13, 37, 12, 3, , 1
2018/8/14, 41, 11, 3, , 1
2018/8/15, 27, 8, 3, , 1
2018/8/16, 21, 6, 2, , 1
2018/8/17, 25, 6, 2, , 1
2018/8/18, 24, 10, 2, , 1
2018/8/19, 28, 8, 4, , 1
2018/8/20, 31, 15, 5, , 2
2018/8/21, 48, 18, 2, , 2
2018/8/22, 41, 14, 6, , 1
2018/8/23, 43, 18, 7, , 2
2018/8/24, 54, 13, 3, , 
2018/8/25, 35, 11, 1, , 1
2018/8/26, 32, 8, 1, , 1
2018/8/27, 28, 9, 3, , 1
2018/8/28, 31, 9, 4, , 1
2018/8/29, 35, 9, 4, , 1
2018/8/30, 27, 9, 2, , 1
2018/8/31, 34, 8, 3, , 
2018/9/1, 25, 9, 4, , 
2018/9/2, 37, 12, 5, , 1
2018/9/3, 41, 12, 3, , 1
2018/9/4, 34, 9, 1, , 
2018/9/5, 33, 12, 2, , 
2018/9/6, 43, 12, 2, , 
2018/9/7, 48, 8, 2, , 
2018/9/8, 31, 7, 2, , 
2018/9/9, 17, 5, 3, , 
2018/9/10, 16, 9, 4, , 1
2018/9/11, 28, 9, 4, , 1
2018/9/12, 34, 11, 5, , 1
2018/9/13, 41, 11, 3, , 1
2018/9/14, 39, 12, 4, , 1
2018/9/15, 37, 14, 4, , 1
2018/9/16, 53, 8, 2, , 1
2018/9/17, 30, 8, 3, , 1
2018/9/18, 24, 8, 3, , 1
2018/9/19, 30, 8, 4, , 1
2018/9/20, 29, 9, 4, , 1
2018/9/21, 29, 5, 4, , 1
2018/9/22, 20, 9, 3, , 1
2018/9/23, 33, 14, 4, , 1
2018/9/24, 51, 7, 3, , 
2018/9/25, 30, 8, 4, , 1
2018/9/26, 26, 7, 4, , 1
2018/9/27, 26, 8, 4, , 1
2018/9/28, 25, 8, 4, , 1
2018/9/29, 29, 10, 8, , 1
2018/9/30, 32, 8, 3, , 1
2018/4/1, 60, 14, 7, , 
2018/4/2, 46, 25, 6, , 
2018/4/3, 77, 12, 6, , 
2018/4/4, 45, 13, 3, , 
2018/4/5, 42, 10, 10, , 
2018/4/6, 41, 8, 6, , 
2018/4/7, 32, 22, 4, , 
2018/4/8, 78, 12, 4, , 
2018/4/9, 45, 14, 5, , 
2018/4/10, 55, 18, 8, , 
2018/4/11, 60, 22, 3, , 
2018/4/12, 66, 13, 3, , 
2018/4/13, 38, 10, 5, , 
2018/4/14, 37, 7, , , 
2018/4/15, 34, 9, , , 
2018/4/16, 34, 9, , , 
2018/4/17, 35, 17, , , 
2018/4/18, 49, 22, , , 
2018/4/19, 57, 24, , , 
2018/4/20, 66, 36, , , 
2018/4/21, 83, 29, , , 
2018/4/22, 75, 11, 4, , 
2018/4/23, 37, 10, 4, , 
2018/4/24, 34, 4, , , 
2018/4/25, 14, 13, , , 
2018/4/26, 46, 21, 4, , 
2018/4/27, 61, 43, 4, , 
2018/4/28, 115, 25, 2, , 
2018/4/29, 70, 21, 1, , 
2018/4/30, 64, 38, 5, , 
2018/5/1, 102, 26, 5, , 
2018/5/2, 83, 7, 4, , 
2018/5/3, 21, 11, 2, , 
2018/5/4, 40, 10, 3, , 
2018/5/5, 34, 19, 4, , 
2018/5/6, 56, 10, 2, , 
2018/5/7, 45, 6, 2, , 
2018/5/8, 23, 8, 2, , 
2018/5/9, 34, 8, 3, , 
2018/5/10, 26, 14, 1, , 
2018/5/11, 48, 21, 1, , 
2018/5/12, 67, 23, 7, , 
2018/5/13, 67, 17, 5, , 1
2018/5/14, 57, 14, 6, , 1
2018/5/15, 41, 31, 2, , 1
2018/5/16, 75, 12, 4, , 1
2018/5/17, 42, 5, 3, , 1
2018/5/18, 19, 4, 2, , 1
2018/5/19, 13, 7, 2, , 1
2018/5/20, 22, 10, 2, , 
2018/5/21, 32, 9, 4, , 1
2018/5/22, 34, 12, 6, , 1
2018/5/23, 45, 8, 2, , 
2018/5/24, 29, 16, 3, , 1
2018/5/25, 47, 11, 2, , 1
2018/5/26, 34, 6, 3, , 
2018/5/27, 30, 10, 4, , 1
2018/5/28, 41, 18, 5, , 1
2018/5/29, 63, 24, 6, , 1
2018/5/30, 69, 23, 7, , 1
2018/5/31, 69, 17, 2, , 1
2018/6/1, 55, 10, 2, 1, 1
2018/6/2, 46, 15, 3, 2, 1
2018/6/3, 55, 16, 6, , 1
2018/6/4, 58, 23, 11, 1, 1
2018/6/5, 68, 26, 8, 2, 1
2018/6/6, 75, 22, 2, 2, 
2018/6/7, 62, 18, 3, 1, 1
2018/6/8, 61, 8, 1, , 
2018/6/9, 33, 9, 1, , 
2018/6/10, 30, 9, 1, , 
2018/6/11, 29, 4, 2, , 
2018/6/12, 16, 4, 1, , 1
2018/6/13, 25, 7, 1, , 
2018/6/14, 19, 7, 1, , 1
2018/6/15, 21, 8, 1, , 1
2018/6/16, 35, 11, 2, , 1
2018/6/17, 35, 15, 5, , 1
2018/6/18, 47, 11, 4, , 1
2018/6/19, 42, 13, 4, , 1
2018/6/20, 41, 14, 4, , 1
2018/6/21, 44, 9, 1, , 1
2018/6/22, 28, 11, 2, , 1
2018/6/23, 42, 18, 1, , 1
2018/6/24, 59, 7, 1, , 1
2018/6/25, 22, 7, 3, , 1
2018/6/26, 25, 10, 4, , 2
2018/6/27, 29, 9, 6, , 1
2018/6/28, 35, 15, 5, , 1
2018/6/29, 36, 12, 7, , 1
2018/6/30, 35, 16, 6, , 
2018/1/1, 16, , 2, , 
2018/1/2, 33, , 7, , 
2018/1/3, 36, , 5, , 
2018/1/4, 25, , 8, , 
2018/1/5, 37, , 5, , 
2018/1/6, 29, , 5, , 
2018/1/7, 33, , 14, , 
2018/1/8, 35, , 11, , 
2018/1/9, 42, , 3, , 
2018/1/10, 53, , 4, , 
2018/1/11, 24, , 4, , 
2018/1/12, 24, , 10, , 
2018/1/13, 32, , 10, , 
2018/1/14, 27, , 5, , 
2018/1/15, 28, , 11, , 
2018/1/16, 60, , 10, , 
2018/1/17, 34, , 13, , 
2018/1/18, 49, , 5, , 
2018/1/19, 46, , 7, , 
2018/1/20, 32, , 4, , 
2018/1/21, 40, , 10, , 
2018/1/22, 33, , 12, , 
2018/1/23, 32, , 4, , 
2018/1/24, 24, , 7, , 
2018/1/25, 24, , 4, , 
2018/1/26, 21, , 6, , 
2018/1/27, 24, , 11, , 
2018/1/28, 27, , 6, , 
2018/1/29, 29, , 6, , 
2018/1/30, 22, 2, 9, , 
2018/1/31, 25, 9, 13, , 
2018/2/1, 35, 9, 16, , 
2018/2/2, 29, 5, 6, , 
2018/2/3, 16, 9, 12, , 
2018/2/4, 26, 13, 7, , 
2018/2/5, 33, 9, 9, , 
2018/2/6, 25, 8, 7, , 
2018/2/7, 24, 9, 8, , 
2018/2/8, 27, 11, 12, , 
2018/2/9, 35, 13, 10, , 
2018/2/10, 45, 17, 5, , 
2018/2/11, 55, 14, 3, , 
2018/2/12, 30, 9, 4, , 
2018/2/13, 24, 10, 12, , 
2018/2/14, 26, 10, 4, , 
2018/2/15, 33, 11, 9, , 
2018/2/16, 29, 16, 11, , 
2018/2/17, 44, 8, 5, , 
2018/2/18, 26, 10, 7, , 
2018/2/19, 22, 11, 12, , 
2018/2/20, 32, 12, 9, , 
2018/2/21, 28, 8, 17, , 
2018/2/22, 28, 13, 18, , 
2018/2/23, 37, 12, 10, , 
2018/2/24, 32, 10, 7, , 
2018/2/25, 33, 12, 7, , 
2018/2/26, 36, 9, 15, , 
2018/2/27, 25, 11, 17, , 
2018/2/28, 34, 9, 13, , 
2018/3/1, 26, 15, 3, , 
2018/3/2, 54, 16, 9, , 
2018/3/3, 45, 17, 15, , 
2018/3/4, 48, 13, 12, , 
2018/3/5, 32, 12, 6, , 
2018/3/6, 39, 8, 9, , 
2018/3/7, 36, 11, 20, , 
2018/3/8, 35, 9, 12, , 
2018/3/9, 27, 9, 4, , 
2018/3/10, 29, 10, 5, , 
2018/3/11, 29, 12, 3, , 
2018/3/12, 34, 21, , , 
2018/3/13, 58, 31, , , 
2018/3/14, 81, 24, , , 
2018/3/15, 71, 8, , , 
2018/3/16, 27, 10, , , 
2018/3/17, 25, 7, , , 
2018/3/18, 22, 12, , , 
2018/3/19, 35, 10, , , 
2018/3/20, 29, 10, , , 
2018/3/21, 34, 8, 8, , 
2018/3/22, 19, 10, 6, , 
2018/3/23, 33, 12, 4, , 
2018/3/24, 41, 24, 4, , 
2018/3/25, 68, 34, 6, , 
2018/3/26, 89, 39, 17, , 
2018/3/27, 109, 33, 9, , 
2018/3/28, 89, 31, 4, , 
2018/3/29, 82, 11, 4, , 
2018/3/30, 39, 14, 5, , 
2018/3/31, 54, 18, 9, , 
2017/10/1, 44, , 3, , 
2017/10/2, 54, , 3, , 
2017/10/3, 36, , 3, , 
2017/10/4, 24, , 3, , 
2017/10/5, 27, , 8, , 
2017/10/6, 48, , 10, , 
2017/10/7, 171, , 3, , 
2017/10/8, 32, , 4, , 
2017/10/9, 55, , 6, , 
2017/10/10, 41, , 7, , 
2017/10/11, 20, , 4, , 
2017/10/12, 28, , 3, , 
2017/10/13, 35, , 6, , 
2017/10/14, 44, , 4, , 
2017/10/15, 39, , 7, , 
2017/10/16, 34, , 5, , 
2017/10/17, 42, , 6, , 
2017/10/18, 46, , 9, , 
2017/10/19, 48, , 7, , 
2017/10/20, 40, , 6, , 
2017/10/21, 23, , 6, , 
2017/10/22, 43, , 4, , 
2017/10/23, 29, , 6, , 
2017/10/24, 63, , 6, , 
2017/10/25, 65, , 6, , 
2017/10/26, 58, , 10, , 
2017/10/27, 59, , 10, , 
2017/10/28, 50, , 12, , 
2017/10/29, 62, , 3, , 
2017/10/30, 33, , 3, , 
2017/10/31, 67, , 4, , 
2017/11/1, 48, , 9, , 
2017/11/2, 70, , 10, , 
2017/11/3, 64, , 4, , 
2017/11/4, 43, , 4, , 
2017/11/5, 51, , 4, , 
2017/11/6, 54, , 4, , 
2017/11/7, 62, , 3, , 
2017/11/8, 56, , 2, , 
2017/11/9, 44, , 6, , 
2017/11/10, 29, , 3, , 
2017/11/11, 33, , 3, , 
2017/11/12, 32, , 9, , 
2017/11/13, 38, , 5, , 
2017/11/14, 38, , 4, , 
2017/11/15, 32, , 5, , 
2017/11/16, 26, , 9, , 
2017/11/17, 34, , 8, , 
2017/11/18, 32, , 3, , 
2017/11/19, 24, , 9, , 
2017/11/20, 28, , 10, , 
2017/11/21, 32, , 16, , 
2017/11/22, 37, , 10, , 
2017/11/23, 35, , 6, , 
2017/11/24, 39, , 7, , 
2017/11/25, 37, , 7, , 
2017/11/26, 35, , 8, , 
2017/11/27, 32, , 21, , 
2017/11/28, 40, , 6, , 
2017/11/29, 56, , 4, , 
2017/11/30, 31, , 4, , 
2017/12/1, 22, , 5, , 
2017/12/2, 28, , 12, , 
2017/12/3, 36, , 10, , 
2017/12/4, 58, , 7, , 
2017/12/5, 28, , 5, , 
2017/12/6, 32, , 15, , 
2017/12/7, 40, , 11, , 
2017/12/8, 25, , 6, , 
2017/12/9, 27, , 12, , 
2017/12/10, 45, , 9, , 
2017/12/11, 38, , 3, , 
2017/12/12, 30, , 5, , 
2017/12/13, 21, , 10, , 
2017/12/14, 28, , 11, , 
2017/12/15, 26, , 13, , 
2017/12/16, 36, , 4, , 
2017/12/17, 31, , 11, , 
2017/12/18, 30, , 9, , 
2017/12/19, 34, , 5, , 
2017/12/20, 34, , 8, , 
2017/12/21, 36, , 20, , 
2017/12/22, 45, , 15, , 
2017/12/23, 61, , 24, , 
2017/12/24, 77, , 6, , 
2017/12/25, 42, , 3, , 
2017/12/26, 29, , 4, , 
2017/12/27, 22, , 5, , 
2017/12/28, 19, , 7, , 
2017/12/29, 22, , 14, , 
2017/12/30, 30, , 28, , 
2017/12/31, 37, , 4, , 
2017/7/1, 53, , 2, , 
2017/7/2, 56, , 7, , 
2017/7/3, 51, , 5, , 
2017/7/4, 33, , 4, , 
2017/7/5, 47, , 2, , 
2017/7/6, 32, , 2, , 
2017/7/7, 41, , 3, , 
2017/7/8, 49, , 5, , 
2017/7/9, 49, , 7, , 
2017/7/10, 50, , 7, , 
2017/7/11, 62, , 2, , 
2017/7/12, 38, , 4, , 
2017/7/13, 54, , 4, , 
2017/7/14, 68, , 4, , 
2017/7/15, 69, , 5, , 
2017/7/16, 46, , 1, , 
2017/7/17, 42, , 2, , 
2017/7/18, 39, , 2, , 
2017/7/19, 32, , 7, , 
2017/7/20, 51, , 4, , 
2017/7/21, 58, , 4, , 
2017/7/22, 33, , 4, , 
2017/7/23, 28, , 3, , 
2017/7/24, 33, , 2, , 
2017/7/25, 33, , 3, , 
2017/7/26, 39, , 4, , 
2017/7/27, 48, , 4, , 
2017/7/28, 49, , 2, , 
2017/7/29, 40, , 1, , 
2017/7/30, 30, , 2, , 
2017/7/31, 22, , 2, , 
2017/8/1, 29, , 3, , 
2017/8/2, 33, , 4, , 
2017/8/3, 53, , 5, , 
2017/8/4, 61, , 4, , 
2017/8/5, 65, , 6, , 
2017/8/6, 54, , 5, , 
2017/8/7, 48, , 2, , 
2017/8/8, 30, , 1, , 
2017/8/9, 13, , 2, , 
2017/8/10, 18, , 2, , 
2017/8/11, 22, , 2, , 
2017/8/12, 15, , 2, , 
2017/8/13, 17, , 2, , 
2017/8/14, 15, , 2, , 
2017/8/15, 18, , 1, , 
2017/8/16, 20, , 3, , 
2017/8/17, 17, , 4, , 
2017/8/18, 18, , 3, , 
2017/8/19, 16, , 2, , 
2017/8/20, 22, , 5, , 
2017/8/21, 31, , 4, , 
2017/8/22, 49, , 2, , 
2017/8/23, 23, , 4, , 
2017/8/24, 28, , 2, , 
2017/8/25, 38, , 3, , 
2017/8/26, 46, , 2, , 
2017/8/27, 39, , 6, , 
2017/8/28, 53, , 3, , 
2017/8/29, 37, , 2, , 
2017/8/30, 27, , 2, , 
2017/8/31, 38, , 3, , 
2017/9/1, 44, , 2, , 
2017/9/2, 41, , 2, , 
2017/9/3, 37, , 2, , 
2017/9/4, 30, , 3, , 
2017/9/5, 33, , 4, , 
2017/9/6, 46, , , , 
2017/9/11, 38, , 5, , 
2017/9/12, 26, , 2, , 
2017/9/13, 37, , 2, , 
2017/9/14, 32, , 3, , 
2017/9/15, 30, , 4, , 
2017/9/16, 41, , 3, , 
2017/9/17, 32, , 1, , 
2017/9/18, 26, , 2, , 
2017/9/19, 41, , 6, , 
2017/9/20, 57, , 2, , 
2017/9/21, 32, , 5, , 
2017/9/22, 31, , 6, , 
2017/9/23, 47, , 3, , 
2017/9/24, 49, , 5, , 
2017/9/25, 56, , 5, , 
2017/9/26, 58, , 6, , 
2017/9/27, 51, , 4, , 
2017/9/28, 22, , 5, , 
2017/9/29, 29, , 5, , 
2017/9/30, 39, , 3, , 
2017/4/1, 42, 12, 7, , 
2017/4/2, 48, 19, 6, , 
2017/4/3, 64, 19, 7, , 
2017/4/4, 61, 19, 13, , 
2017/4/5, 66, 25, 6, , 
2017/4/6, 75, 10, 2, , 
2017/4/7, 36, 18, 6, , 
2017/4/8, 60, 9, 1, , 
2017/4/9, 40, 12, 4, , 
2017/4/10, 46, 15, 11, , 
2017/4/11, 55, 8, 2, , 
2017/4/12, 35, 15, 2, , 
2017/4/13, 54, 21, 2, , 
2017/4/14, 54, 17, 2, , 
2017/4/15, 62, 29, 2, , 
2017/4/16, 82, 22, 6, , 
2017/4/17, 69, 8, 3, , 
2017/4/18, 31, 7, 3, , 
2017/4/19, 29, 7, 2, , 
2017/4/20, 29, 11, 6, , 
2017/4/21, 29, 9, 3, , 
2017/4/22, 30, , 3, , 
2017/4/23, 26, 11, 8, , 
2017/4/24, 34, 8, 7, , 
2017/4/25, 49, , 5, , 
